0.1113	9.13252	1.40624	0	
0.1120	7.60442	-0.439449	0	
0.1127	5.77551	0.483394	0	
0.1133	8.81968	1.09862	0	
0.1140	11.2622	0.483394	0	
0.1147	8.81968	-0.131835	0	
0.1153	4.86105	-0.439449	0	
0.1160	4.2474	1.40624	0	
0.1167	3.9466	3.82321	0	
0.1173	2.10565	3.25193	0	
0.1180	2.41849	1.40624	0	
0.1187	4.2474	1.71385	0	
0.1193	3.03214	2.32908	0	
0.1200	2.41849	0.483394	0	
0.1207	5.16186	0.483394	0	
0.1213	5.77551	0.17578	0	
0.1220	2.10565	-3.47165	0	
0.1227	1.1912	-4.70211	0	
0.1233	3.03214	-2.85642	0	
0.1240	3.9466	-5.00972	0	
0.1247	2.7193	-7.73431	0	
0.1253	-0.0240646	-5.93257	0	
0.1260	-1.55217	-4.39449	0	
0.1267	-0.324872	-6.5478	0	
0.1273	-1.55217	-5.93257	0	
0.1280	-5.52283	-5.00972	0	
0.1287	-7.0389	-7.16303	0	
0.1293	-7.35174	-8.34954	0	
0.1300	-7.65255	-4.70211	0	
0.1307	-5.20999	-1.66991	0	
0.1313	-4.59634	-0.747064	0	
0.1320	-8.567	1.40624	0	
0.1327	-10.0951	3.25193	0	
0.1333	-7.65255	0.483394	0	
0.1340	-5.20999	-1.05468	0	
0.1347	-4.29553	0.791009	0	
0.1353	-5.52283	2.02147	0	
0.1360	-7.65255	1.40624	0	
0.1367	-5.52283	2.6367	0	
0.1373	-3.08027	3.25193	0	
0.1380	-4.29553	2.6367	0	
0.1387	-4.29553	3.25193	0	
0.1393	-2.46662	3.25193	0	
0.1400	-3.38108	2.94431	0	
0.1407	-4.29553	3.55954	0	
0.1413	-3.99472	3.55954	0	
0.1420	-5.20999	0.483394	0	
0.1427	-3.38108	-0.439449	0	
0.1433	1.50404	1.71385	0	
0.1440	-0.637712	0.791009	0	
0.1447	-6.43728	-1.66991	0	
0.1453	-5.52283	0.17578	0	
0.1460	-2.46662	2.94431	0	
0.1467	-2.46662	3.25193	0	
0.1473	-1.55217	3.82321	0	
0.1480	-1.55217	3.82321	0	
0.1487	-3.68189	3.25193	0	
0.1493	-3.38108	4.13082	0	
0.1500	-2.46662	4.74605	0	
0.1507	-3.68189	4.43844	0	
0.1513	-3.38108	5.97651	0	
0.1520	-0.0240646	4.74605	0	
0.1527	0.89039	-1.05468	0	
0.1533	-0.637712	-2.24119	0	
0.1540	-1.55217	1.40624	0	
0.1547	-1.23933	3.25193	0	
0.1553	-2.46662	1.09862	0	
0.1560	-3.99472	-1.97752	0	
0.1567	-3.08027	-3.77926	0	
0.1573	-3.08027	-3.77926	0	
0.1580	-5.52283	-2.54881	0	
0.1587	-3.99472	-2.24119	0	
0.1593	0.589583	-5.31734	0	
0.1600	0.276743	-7.73431	0	
0.1607	-2.76743	-5.93257	0	
0.1613	-1.23933	-3.47165	0	
0.1620	2.10565	-4.39449	0	
0.1627	2.10565	-5.00972	0	
0.1633	1.1912	-4.08688	0	
0.1640	3.03214	-4.08688	0	
0.1647	5.46267	-5.93257	0	
