0.1120	-1.24872	-4.78959	0	
0.1127	-2.46622	-7.85097	0	
0.1133	-0.031218	-6.91281	0	
0.1140	2.09161	-4.19706	0	
0.1147	0.593142	-2.66637	0	
0.1153	-0.62436	-0.493772	0	
0.1160	-0.62436	-0.197509	0	
0.1167	-1.24872	-2.66637	0	
0.1173	-1.87308	-4.19706	0	
0.1180	-1.87308	-2.66637	0	
0.1187	-2.46622	-0.493772	0	
0.1193	-3.9959	0.395018	0	
0.1200	-3.09058	-1.43194	0	
0.1207	-0.93654	-4.19706	0	
0.1213	-3.09058	-3.25889	0	
0.1220	-3.37154	-0.197509	0	
0.1227	1.81064	1.33318	0	
0.1233	3.02815	0.395018	0	
0.1240	0.874104	-1.13568	0	
0.1247	2.09161	-3.25889	0	
0.1253	3.62129	-4.49332	0	
0.1260	3.93347	-3.25889	0	
0.1267	5.77533	-2.02446	0	
0.1273	4.55783	-3.25889	0	
0.1280	1.18628	-5.08585	0	
0.1287	2.09161	-3.25889	0	
0.1293	3.93347	-1.43194	0	
0.1300	3.02815	0.395018	0	
0.1307	2.40379	2.86388	0	
0.1313	0.280962	2.86388	0	
0.1320	-0.62436	-0.839412	0	
0.1327	2.71597	-1.43194	0	
0.1333	4.83879	0.0987544	0	
0.1340	3.34033	-0.493772	0	
0.1347	2.09161	-1.13568	0	
0.1353	1.18628	-0.493772	0	
0.1360	2.09161	-0.493772	0	
0.1367	4.83879	1.62945	0	
0.1373	3.62129	4.04893	0	
0.1380	2.40379	2.86388	0	
0.1387	5.15097	1.62945	0	
0.1393	6.68065	2.86388	0	
0.1400	6.36847	1.33318	0	
0.1407	6.68065	0.0987544	0	
0.1413	6.99283	0.0987544	0	
0.1420	7.58597	-2.66637	0	
0.1427	7.58597	-4.49332	0	
0.1433	3.62129	-2.02446	0	
0.1440	1.81064	-1.43194	0	
0.1447	6.36847	-3.25889	0	
0.1453	8.21033	-3.25889	0	
0.1460	4.55783	-4.78959	0	
0.1467	3.62129	-6.91281	0	
0.1473	6.08751	-5.08585	0	
0.1480	6.08751	-5.67838	0	
0.1487	3.62129	-8.73976	0	
0.1493	3.02815	-6.02402	0	
0.1500	5.15097	-3.25889	0	
0.1507	5.77533	-4.78959	0	
0.1513	4.55783	-3.85142	0	
0.1520	5.46315	-2.32073	0	
0.1527	5.77533	-2.96263	0	
0.1533	2.71597	0.0987544	0	
0.1540	2.09161	3.16014	0	
0.1547	4.24565	2.86388	0	
0.1553	3.34033	5.28336	0	
0.1560	1.49846	9.23353	0	
0.1567	3.02815	7.75222	0	
0.1573	3.02815	7.40658	0	
0.1580	0.280962	7.75222	0	
0.1587	0.280962	2.51824	0	
0.1593	2.71597	-0.493772	0	
