0.0000	-4.44319	5.26095	1
0.0007	-1.39394	1.28316	0	
0.0013	0.435607	-0.534649	0	
0.0020	3.17993	2.50216	0	
0.0027	8.97349	0.983755	0	
0.0033	16.0085	-2.37384	0	
0.0040	24.8514	-0.534649	0	
0.0047	34.9139	0.384948	0	
0.0053	36.4385	-1.15484	0	
0.0060	29.4252	-1.15484	0	
0.0067	24.5464	-1.45425	0	
0.0073	23.6317	-3.29344	0	
0.0080	23.0218	-1.15484	0	
0.0087	22.107	0.983755	0	
0.0093	22.107	-1.15484	0	
0.0100	19.0578	-1.75365	0	
0.0107	4.70455	1.28316	0	
0.0113	-20.321	3.74255	0	
0.0120	-34.3476	2.50216	0	
0.0127	-25.8097	0.684351	0	
0.0133	-13.6127	2.50216	0	
0.0140	-11.7614	3.42176	0	
0.0147	-12.6979	0.983755	0	
0.0153	-14.2226	1.60395	0	
0.0160	-16.0521	4.34135	0	
0.0167	-12.0663	0.684351	0	
0.0173	-6.88258	-2.97265	0	
0.0180	-8.10228	-2.67325	0	
0.0187	-8.71213	-5.11125	0	
0.0193	-4.74811	-8.46885	0	
0.0200	-5.66289	-5.73144	0	
0.0207	-13.9176	-2.97265	0	
0.0213	-20.0161	-4.19165	0	
0.0220	-15.7472	-4.51244	0	
0.0227	-9.01706	-2.67325	0	
0.0233	-8.71213	0.384948	0	
0.0240	-11.4565	3.74255	0	
0.0247	-11.7614	4.34135	0	
0.0253	-10.2368	2.20276	0	
0.0260	-7.79736	2.20276	0	
0.0267	-6.57766	3.12235	0	
0.0273	-9.32198	2.20276	0	
0.0280	-10.5417	1.90335	0	
0.0287	-3.52841	2.50216	0	
0.0293	4.39963	1.28316	0	
0.0300	7.7538	1.90335	0	
0.0307	12.6326	5.56035	0	
0.0313	17.5332	8.31915	0	
0.0320	14.7888	8.91795	0	
0.0327	11.7178	7.99836	0	
0.0333	10.803	6.18055	0	
0.0340	7.7538	4.64076	0	
0.0347	6.22917	4.64076	0	
0.0353	10.1932	2.20276	0	
0.0360	15.0938	-2.97265	0	
0.0367	16.6184	-7.54925	0	
0.0373	10.1932	-9.08904	0	
0.0380	-2.61364	-6.65104	0	
0.0387	-7.49243	-5.11125	0	
0.0393	0.130682	-7.54925	0	
0.0400	5.61932	-7.54925	0	
0.0407	3.48485	-2.97265	0	
0.0413	1.35038	-1.15484	0	
0.0420	0.435607	-0.235246	0	
0.0427	-2.30871	2.50216	0	
0.0433	-7.49243	2.82295	0	
0.0440	-13.0029	2.82295	0	
0.0447	-16.9669	6.18055	0	
0.0453	-18.1866	7.39955	0	
0.0460	-16.357	4.04195	0	
0.0467	-12.0663	1.60395	0	
0.0473	-7.18751	0.983755	0	
0.0480	-5.66289	0.684351	0	
0.0487	-9.01706	3.42176	0	
0.0493	-11.4565	6.18055	0	
0.0500	-6.57766	4.96155	0	
0.0507	-1.08902	1.90335	0	
0.0513	-2.00379	1.60395	0	
0.0520	-1.08902	2.50216	0	
0.0527	5.3144	3.12235	0	
0.0533	9.58334	1.28316	0	
0.0540	12.0227	-3.89225	0	
0.0547	16.3135	-9.08904	0	
0.0553	18.143	-11.527	0	
0.0560	18.7529	-13.965	0	
0.0567	21.8021	-16.1036	0	
0.0573	23.9366	-14.8846	0	
0.0580	20.8873	-11.2276	0	
0.0587	12.9375	-8.16944	0	
0.0593	3.17993	-4.81185	0	
0.0600	-5.96781	-3.29344	0	
0.0607	-9.93183	-4.19165	0	
0.0613	-8.40721	-1.75365	0	
0.0620	-9.6269	4.34135	0	
0.0627	-13.0029	4.34135	0	
0.0633	-7.18751	0.0641579	0	
0.0640	2.57008	-2.67325	0	
0.0647	2.57008	-3.89225	0	
0.0653	0.435607	-2.97265	0	
0.0660	4.70455	-0.235246	0	
0.0667	6.22917	-1.15484	0	
0.0673	7.7538	-4.81185	0	
0.0680	15.3987	-4.81185	0	
0.0687	15.3987	-1.45425	0	
0.0693	2.875	0.684351	0	
0.0700	-1.08902	1.90335	0	
0.0707	7.14395	2.50216	0	
0.0713	12.9375	2.82295	0	
0.0720	13.5474	2.50216	0	
0.0727	12.9375	1.28316	0	
0.0733	13.2424	-0.534649	0	
0.0740	13.5474	-1.45425	0	
0.0747	5.00948	-0.834053	0	
0.0753	-12.6979	0.983755	0	
0.0760	-21.2358	0.684351	0	
0.0767	-19.4063	-0.834053	0	
0.0773	-18.1866	0.384948	0	
0.0780	-14.5275	-0.534649	0	
0.0787	-12.6979	-3.59284	0	
0.0793	-20.626	-3.89225	0	
0.0800	-26.4195	-3.89225	0	
0.0807	-19.4063	-3.89225	0	
0.0813	-11.1515	-0.834053	0	
0.0820	-8.10228	0.983755	0	
0.0827	-5.96781	0.0641579	0	
0.0833	-3.22349	0.384948	0	
0.0840	1.35038	-1.15484	0	
0.0847	5.3144	-4.51244	0	
0.0853	5.92425	-2.07444	0	
0.0860	7.14395	2.50216	0	
0.0867	10.803	3.74255	0	
0.0873	11.7178	3.42176	0	
0.0880	9.58334	1.60395	0	
0.0887	9.88827	-1.45425	0	
0.0893	10.1932	-2.37384	0	
0.0900	8.05872	0.684351	0	
0.0907	7.14395	2.82295	0	
0.0913	8.05872	0.0641579	0	
0.0920	6.22917	-3.29344	0	
0.0927	-1.39394	-0.834053	0	
0.0933	-6.57766	3.42176	0	
0.0940	-2.91856	3.42176	0	
0.0947	-0.174243	3.74255	0	
0.0953	-5.66289	4.96155	0	
0.0960	-12.0663	3.12235	0	
0.0967	-12.6979	2.20276	0	
0.0973	-11.7614	3.42176	0	
0.0980	-8.71213	1.28316	0	
0.0987	-3.52841	-1.75365	0	
0.0993	-2.91856	-1.15484	0	
0.1000	-5.05304	-0.235246	0	
0.1007	-4.74811	0.0641579	0	
0.1013	-2.00379	-0.235246	0	
0.1020	2.26515	-2.67325	0	
0.1027	7.7538	-4.81185	0	
0.1033	7.14395	-2.97265	0	
0.1040	2.57008	0.684351	0	
0.1047	0.740531	4.64076	0	
0.1053	-1.39394	7.10014	0	
0.1060	-4.44319	3.74255	0	
0.1067	-4.44319	0.684351	0	
0.1073	-5.66289	3.12235	0	
0.1080	-7.18751	4.96155	0	
0.1087	-2.30871	3.42176	0	
0.1093	4.39963	4.34135	0	
0.1100	7.14395	5.56035	0	
0.1107	8.66857	2.50216	0	
0.1113	9.58334	0.684351	0	
0.1120	10.803	2.50216	0	
0.1127	13.5474	3.42176	0	
0.1133	13.2424	3.12235	0	
0.1140	8.97349	2.50216	0	
0.1147	7.44887	0.384948	0	
0.1153	5.61932	-2.07444	0	
0.1160	-1.39394	0.384948	0	
0.1167	-10.2368	5.26095	0	
0.1173	-15.1373	5.26095	0	
0.1180	-16.357	2.20276	0	
0.1187	-14.8324	2.20276	0	
0.1193	-11.1515	3.42176	0	
0.1200	-5.96781	-1.15484	0	
0.1207	-1.08902	-7.24985	0	
0.1213	1.96023	-5.73144	0	
0.1220	3.48485	-1.45425	0	
0.1227	3.48485	-2.67325	0	
0.1233	2.875	-4.81185	0	
0.1240	4.0947	-3.89225	0	
0.1247	4.70455	-3.29344	0	
0.1253	2.26515	-1.75365	0	
0.1260	-0.479167	2.50216	0	
0.1267	-0.174243	2.82295	0	
0.1273	1.96023	-0.235246	0	
0.1280	3.48485	-1.45425	0	
0.1287	3.48485	-1.15484	0	
0.1293	3.17993	-2.07444	0	
0.1300	4.39963	-1.75365	0	
0.1307	4.0947	-0.834053	0	
0.1313	5.00948	-1.45425	0	
0.1320	14.4839	-0.235246	0	
0.1327	24.8514	3.12235	0	
0.1333	22.7169	5.56035	0	
0.1340	15.7036	5.85976	0	
0.1347	13.8523	4.34135	0	
0.1353	10.4981	2.82295	0	
0.1360	3.48485	2.50216	0	
0.1367	1.04546	1.60395	0	
0.1373	0.740531	1.60395	0	
0.1380	-1.69887	3.12235	0	
0.1387	-5.05304	2.50216	0	
0.1393	-9.32198	0.983755	0	
0.1400	-15.7472	1.60395	0	
0.1407	-22.1506	1.90335	0	
0.1413	-24.8949	0.0641579	0	
0.1420	-23.9801	-0.235246	0	
0.1427	-17.5767	2.20276	0	
0.1433	-9.32198	3.12235	0	
0.1440	-5.96781	0.684351	0	
0.1447	-4.74811	-1.45425	0	
0.1453	-2.00379	-0.834053	0	
0.1460	-1.39394	-0.235246	0	
0.1467	-2.91856	-0.235246	0	
0.1473	-2.00379	1.60395	0	
0.1480	-1.39394	3.12235	0	
0.1487	-5.66289	3.12235	0	
0.1493	-4.74811	4.96155	0	
0.1500	1.04546	6.18055	0	
0.1507	1.04546	3.74255	0	
0.1513	-0.479167	1.90335	0	
0.1520	0.740531	2.20276	0	
0.1527	-0.479167	-0.235246	0	
0.1533	0.130682	-3.89225	0	
0.1540	8.97349	-4.81185	0	
0.1547	16.6184	-5.73144	0	
0.1553	17.5332	-6.65104	0	
0.1560	17.2282	-6.33025	0	
0.1567	17.2282	-7.87004	0	
0.1573	17.8381	-12.1259	0	
0.1580	20.8873	-14.8846	0	
0.1587	20.8873	-13.965	0	
0.1593	15.0938	-11.2276	0	
0.1600	9.27842	-6.95044	0	
0.1607	5.00948	-3.89225	0	
0.1613	-0.784092	-4.19165	0	
0.1620	-5.05304	-2.67325	0	
0.1627	-6.57766	0.684351	0	
0.1633	-5.66289	-0.235246	0	
0.1640	-2.91856	-2.97265	0	
0.1647	-1.69887	-1.75365	0	
0.1653	-2.30871	-0.534649	0	
0.1660	-0.174243	0.983755	0	
0.1667	3.48485	3.74255	0	
0.1673	3.48485	2.82295	0	
0.1680	7.14395	0.684351	0	
0.1687	17.5332	1.60395	0	
0.1693	25.1563	0.983755	0	
0.1700	23.6317	-1.45425	0	
0.1707	17.5332	-1.75365	0	
0.1713	12.0227	-1.15484	0	
0.1720	9.88827	-0.235246	0	
0.1727	6.5341	0.384948	0	
0.1733	-1.69887	-1.15484	0	
0.1740	-8.71213	-2.97265	0	
0.1747	-10.2368	-2.07444	0	
0.1753	-8.40721	-1.75365	0	
0.1760	-5.05304	-2.07444	0	
0.1767	-3.52841	-1.45425	0	
0.1773	-2.61364	-1.45425	0	
0.1780	0.740531	-0.235246	0	
0.1787	2.26515	0.684351	0	
0.1793	-2.00379	-0.235246	0	
0.1800	-5.96781	-0.834053	0	
