0.0000	-7.32204	7.22322	1
0.0007	-4.57086	4.47609	0	
0.0013	-1.5164	4.78346	0	
0.0020	1.84134	2.03633	0	
0.0027	2.75118	0.806849	0	
0.0033	0.931502	3.2466	0	
0.0040	1.84134	0.806849	0	
0.0047	4.8958	-2.22844	0	
0.0053	3.3794	0.499478	0	
0.0060	-2.12296	2.95844	0	
0.0067	-2.72952	0.806849	0	
0.0073	1.84134	-1.94028	0	
0.0080	4.28924	-5.59031	0	
0.0087	4.8958	-8.95218	0	
0.0093	10.3982	-10.4698	0	
0.0100	18.0235	-12.314	0	
0.0107	20.1464	-13.2169	0	
0.0113	16.1821	-11.0846	0	
0.0120	14.6657	-8.03006	0	
0.0127	19.5399	-4.68741	0	
0.0133	22.2911	-1.63291	0	
0.0140	17.4169	-1.94028	0	
0.0147	12.2178	-2.22844	0	
0.0153	11.6113	-0.0960534	0	
0.0160	8.25354	0.499478	0	
0.0167	2.75118	-1.01817	0	
0.0173	0.931502	-0.710795	0	
0.0180	1.23478	-0.0960534	0	
0.0187	-0.606559	-0.0960534	0	
0.0193	-3.0328	0.211317	0	
0.0200	-5.4807	0.499478	0	
0.0207	-6.39054	0.499478	0	
0.0213	-5.17742	-0.403424	0	
0.0220	-3.33608	-0.0960534	0	
0.0227	-2.72952	3.2466	0	
0.0233	-2.72952	4.47609	0	
0.0240	-1.5164	1.72896	0	
0.0247	-0.909839	0.806849	0	
0.0253	-1.5164	3.86135	0	
0.0260	-1.81968	3.55398	0	
0.0267	-1.5164	-1.01817	0	
0.0273	-1.81968	-1.63291	0	
0.0280	-4.87414	0.806849	0	
0.0287	-10.6581	0.211317	0	
0.0293	-12.1962	-3.15055	0	
0.0300	-6.08726	-5.28294	0	
0.0307	-3.63936	-5.28294	0	
0.0313	-10.9831	-4.68741	0	
0.0320	-16.4638	-3.76529	0	
0.0327	-17.3736	-2.84318	0	
0.0333	-18.9117	-2.22844	0	
0.0340	-15.2506	-3.45792	0	
0.0347	-6.39054	-4.97557	0	
0.0353	-4.26758	-4.38003	0	
0.0360	-5.78398	-2.84318	0	
0.0367	-4.57086	-2.53581	0	
0.0373	-4.57086	-1.01817	0	
0.0380	-5.17742	0.806849	0	
0.0387	-3.63936	0.211317	0	
0.0393	-3.9643	-0.0960534	0	
0.0400	-4.57086	0.499478	0	
0.0407	-0.606559	-0.0960534	0	
0.0413	2.75118	-0.403424	0	
0.0420	3.05446	0.806849	0	
0.0427	2.75118	1.72896	0	
0.0433	0.931502	3.2466	0	
0.0440	-1.5164	5.09083	0	
0.0447	-1.5164	5.3982	0	
0.0453	-1.21312	5.3982	0	
0.0460	-3.0328	2.03633	0	
0.0467	-3.63936	-4.68741	0	
0.0473	-0.606559	-5.28294	0	
0.0480	1.23478	-1.63291	0	
0.0487	0.628222	-3.76529	0	
0.0493	1.84134	-7.72269	0	
0.0500	7.04042	-4.68741	0	
0.0507	9.16338	-1.32554	0	
0.0513	8.25354	-2.53581	0	
0.0520	9.46666	-4.38003	0	
0.0527	11.6113	-3.76529	0	
0.0533	9.76994	-2.84318	0	
0.0540	9.16338	-1.63291	0	
0.0547	11.308	-0.710795	0	
0.0553	9.46666	-1.01817	0	
0.0560	0.931502	0.211317	0	
0.0567	-8.23188	4.47609	0	
0.0573	-10.6581	6.60847	0	
0.0580	-9.14172	4.47609	0	
0.0587	-10.0516	4.78346	0	
0.0593	-11.5896	8.14533	0	
0.0600	-6.39054	5.99373	0	
0.0607	1.84134	1.11422	0	
0.0613	3.3794	2.65107	0	
0.0620	0.324943	6.3011	0	
0.0627	-4.57086	5.99373	0	
0.0633	-9.74828	5.3982	0	
0.0640	-10.3548	7.53059	0	
0.0647	-7.32204	8.14533	0	
0.0653	-4.57086	5.3982	0	
0.0660	1.84134	1.72896	0	
0.0667	9.16338	-4.07266	0	
0.0673	9.76994	-8.95218	0	
0.0680	11.9146	-9.87429	0	
0.0687	13.7559	-8.33743	0	
0.0693	3.05446	-8.03006	0	
0.0700	-10.6581	-6.81979	0	
0.0707	-14.0159	-4.38003	0	
0.0713	-15.2506	-4.68741	0	
0.0720	-16.1605	-6.81979	0	
0.0727	-10.9831	-6.20505	0	
0.0733	-6.69382	-4.38003	0	
0.0740	-6.9971	-3.76529	0	
0.0747	-5.4807	-2.22844	0	
0.0753	-5.4807	0.806849	0	
0.0760	-10.0516	2.03633	0	
0.0767	-10.0516	2.03633	0	
0.0773	-5.78398	1.72896	0	
0.0780	-3.63936	2.65107	0	
0.0787	-4.26758	2.65107	0	
0.0793	-3.63936	0.806849	0	
0.0800	-0.909839	-0.403424	0	
0.0807	3.68268	1.72896	0	
0.0813	6.4122	1.72896	0	
0.0820	3.68268	-0.0960534	0	
0.0827	-1.21312	2.65107	0	
0.0833	-2.42624	4.16872	0	
0.0840	0.628222	0.806849	0	
0.0847	1.23478	-0.403424	0	
0.0853	-1.81968	1.42159	0	
0.0860	-2.42624	0.806849	0	
0.0867	0.628222	-0.0960534	0	
0.0873	2.75118	-0.0960534	0	
0.0880	3.05446	-2.84318	0	
0.0887	1.84134	-2.84318	0	
0.0893	-2.72952	1.72896	0	
0.0900	-5.17742	2.65107	0	
0.0907	-2.12296	-1.01817	0	
0.0913	0.628222	-1.01817	0	
0.0920	-0.909839	1.72896	0	
0.0927	-2.12296	0.806849	0	
0.0933	-0.909839	-0.710795	0	
0.0940	0.0216628	1.72896	0	
0.0947	-2.12296	4.47609	0	
0.0953	-4.87414	3.55398	0	
0.0960	-4.57086	2.3437	0	
0.0967	-0.30328	0.806849	0	
0.0973	4.28924	-2.22844	0	
0.0980	5.19908	-3.76529	0	
0.0987	3.98596	-2.22844	0	
0.0993	3.68268	-1.63291	0	
0.1000	1.53806	-2.84318	0	
0.1007	-0.909839	-4.38003	0	
0.1013	-0.909839	-4.07266	0	
0.1020	-0.909839	-1.32554	0	
0.1027	-2.72952	1.42159	0	
0.1033	-3.63936	2.3437	0	
0.1040	-2.12296	1.72896	0	
0.1047	-1.21312	0.806849	0	
0.1053	-1.5164	-1.32554	0	
0.1060	-0.606559	-2.22844	0	
0.1067	0.931502	-1.01817	0	
0.1073	-1.21312	-0.710795	0	
0.1080	-4.57086	-1.01817	0	
0.1087	-4.57086	-1.01817	0	
0.1093	-3.9643	-0.710795	0	
0.1100	-8.23188	0.499478	0	
0.1107	-11.5896	0.211317	0	
0.1113	-8.83844	-1.01817	0	
0.1120	-6.08726	-0.710795	0	
0.1127	-7.9286	0.211317	0	
0.1133	-9.14172	0.806849	0	
0.1140	-6.69382	1.42159	0	
0.1147	-4.57086	-0.0960534	0	
0.1153	-5.4807	-1.01817	0	
0.1160	-4.87414	1.72896	0	
0.1167	-0.606559	1.72896	0	
0.1173	0.0216628	-0.403424	0	
0.1180	0.0216628	0.806849	0	
0.1187	4.28924	0.806849	0	
0.1193	7.95026	-2.53581	0	
0.1200	7.3437	-1.01817	0	
0.1207	8.8601	1.72896	0	
0.1213	12.2178	-0.0960534	0	
0.1220	13.431	-1.94028	0	
0.1227	12.8244	-1.32554	0	
0.1233	11.308	-3.15055	0	
0.1240	8.55682	-5.89768	0	
0.1247	7.64698	-6.51242	0	
0.1253	8.25354	-3.76529	0	
0.1260	6.10892	1.11422	0	
0.1267	2.75118	2.65107	0	
0.1273	0.628222	1.72896	0	
0.1280	-4.26758	3.2466	0	
0.1287	-10.3548	4.47609	0	
0.1293	-11.2863	1.72896	0	
0.1300	-10.0516	0.211317	0	
0.1307	-13.7126	1.11422	0	
0.1313	-16.1605	1.42159	0	
0.1320	-12.8027	2.95844	0	
0.1327	-10.3548	5.99373	0	
0.1333	-11.5896	5.3982	0	
0.1340	-10.9831	2.65107	0	
0.1347	-9.445	2.3437	0	
0.1353	-6.9971	2.3437	0	
0.1360	-2.42624	1.11422	0	
0.1367	0.0216628	2.3437	0	
0.1373	-1.81968	4.47609	0	
0.1380	-2.72952	2.95844	0	
0.1387	-1.5164	2.03633	0	
0.1393	-2.72952	3.55398	0	
0.1400	-2.72952	2.65107	0	
0.1407	2.4479	0.806849	0	
0.1413	6.10892	-0.0960534	0	
0.1420	2.75118	-2.53581	0	
0.1427	-0.606559	-4.97557	0	
0.1433	2.14462	-5.59031	0	
0.1440	8.25354	-6.20505	0	
0.1447	15.5756	-7.72269	0	
0.1453	20.1464	-9.87429	0	
0.1460	18.0235	-12.6214	0	
0.1467	14.0592	-13.8317	0	
0.1473	14.0592	-13.8317	0	
0.1480	13.431	-12.6214	0	
0.1487	9.46666	-10.1817	0	
0.1493	4.59252	-7.43453	0	
0.1500	-0.909839	-4.68741	0	
0.1507	-5.17742	-2.84318	0	
0.1513	-5.4807	-3.45792	0	
0.1520	-3.9643	-2.22844	0	
0.1527	-0.909839	2.03633	0	
0.1533	0.324943	2.65107	0	
0.1540	-3.33608	-0.0960534	0	
0.1547	-7.32204	1.42159	0	
0.1553	-6.39054	4.16872	0	
0.1560	-6.39054	5.3982	0	
0.1567	-9.14172	9.04823	0	
0.1573	-9.14172	11.1806	0	
0.1580	-6.08726	9.04823	0	
0.1587	-6.39054	7.22322	0	
0.1593	-7.32204	6.3011	0	
0.1600	-4.57086	4.78346	0	
0.1607	-1.81968	3.55398	0	
0.1613	0.324943	0.806849	0	
0.1620	2.75118	-1.01817	0	
0.1627	0.324943	-0.0960534	0	
0.1633	-4.87414	1.72896	0	
0.1640	-5.4807	0.211317	0	
0.1647	-3.33608	1.42159	0	
0.1653	-3.63936	5.09083	0	
0.1660	1.23478	2.95844	0	
0.1667	12.8244	-3.45792	0	
0.1673	16.7887	-6.51242	0	
0.1680	8.25354	-6.51242	0	
0.1687	2.75118	-6.51242	0	
0.1693	5.80564	-4.07266	0	
0.1700	7.95026	-0.0960534	0	
0.1707	7.64698	-0.403424	0	
0.1713	10.3982	-2.84318	0	
0.1720	12.8244	-1.32554	0	
0.1727	12.8244	-0.0960534	0	
0.1733	13.7559	-2.53581	0	
0.1740	14.3625	-4.07266	0	
0.1747	9.46666	-3.45792	0	
0.1753	0.0216628	-2.84318	0	
0.1760	-7.32204	-2.22844	0	
0.1767	-10.6581	-1.63291	0	
0.1773	-16.4638	-2.22844	0	
0.1780	-25.3239	-1.94028	0	
0.1787	-25.6271	-0.403424	0	
0.1793	-17.3736	0.499478	0	
0.1800	-11.8929	1.11422	0	
0.1807	-10.3548	2.95844	0	
0.1813	-9.14172	5.3982	0	
0.1820	-10.0516	6.3011	0	
0.1827	-11.8929	7.22322	0	
0.1833	-10.6581	9.04823	0	
0.1840	-7.9286	8.14533	0	
0.1847	-7.32204	4.47609	0	
0.1853	-7.32204	2.65107	0	
0.1860	-2.72952	3.55398	0	
0.1867	2.4479	3.55398	0	
0.1873	2.14462	2.3437	0	
0.1880	0.931502	3.55398	0	
0.1887	2.14462	4.47609	0	
0.1893	1.84134	1.42159	0	
0.1900	0.0216628	-1.01817	0	
0.1907	4.28924	-0.403424	0	
0.1913	11.9146	0.211317	0	
0.1920	13.431	-1.01817	0	
0.1927	6.73714	-1.94028	0	
0.1933	2.75118	-1.63291	0	
0.1940	5.50236	-1.01817	0	
0.1947	6.4122	-0.403424	0	
0.1953	2.75118	-0.0960534	0	
0.1960	2.14462	0.211317	0	
0.1967	2.14462	1.72896	0	
0.1973	-2.72952	2.03633	0	
0.1980	-6.39054	0.806849	0	
0.1987	-6.39054	1.11422	0	
0.1993	-10.6581	1.72896	0	
0.2000	-14.9474	1.42159	0	
0.2007	-14.0159	2.65107	0	
0.2013	-12.8027	3.55398	0	
0.2020	-12.8027	2.03633	0	
0.2027	-9.445	1.42159	0	
0.2033	-5.78398	2.65107	0	
0.2040	-5.78398	1.72896	0	
0.2047	-5.78398	0.806849	0	
0.2053	-4.57086	1.72896	0	
0.2060	-2.72952	0.806849	0	
0.2067	1.84134	-3.15055	0	
0.2073	5.19908	-5.59031	0	
0.2080	3.68268	-4.68741	0	
0.2087	2.14462	-2.53581	0	
0.2093	3.3794	-3.76529	0	
0.2100	3.3794	-5.59031	0	
0.2107	3.05446	-3.76529	0	
0.2113	3.3794	-1.63291	0	
0.2120	1.84134	-1.01817	0	
0.2127	2.75118	0.806849	0	
0.2133	3.68268	1.42159	0	
0.2140	2.75118	-1.01817	0	
0.2147	6.4122	-2.84318	0	
0.2153	11.9146	-4.38003	0	
0.2160	8.25354	-4.97557	0	
0.2167	2.75118	-3.45792	0	
0.2173	4.59252	-1.32554	0	
0.2180	4.59252	-1.01817	0	
0.2187	1.53806	-1.32554	0	
0.2193	1.84134	-1.94028	0	
0.2200	-0.909839	-1.01817	0	
0.2207	-7.32204	2.3437	0	
0.2213	-9.74828	3.2466	0	
0.2220	-10.6581	-0.0960534	0	
0.2227	-11.8929	0.499478	0	
0.2233	-7.9286	2.3437	0	
0.2240	0.0216628	-0.710795	0	
0.2247	6.4122	-3.45792	0	
0.2253	9.46666	-2.84318	0	
0.2260	9.16338	-3.76529	0	
0.2267	7.95026	-2.22844	0	
0.2273	8.25354	0.499478	0	
0.2280	9.16338	-2.84318	0	
0.2287	11.308	-7.43453	0	
0.2293	14.6657	-7.72269	0	
0.2300	16.1821	-8.95218	0	
0.2307	14.969	-11.0846	0	
0.2313	13.431	-8.33743	0	
0.2320	8.8601	-4.38003	0	
0.2327	1.84134	-4.07266	0	
