0.0000	7.61473	0.547608	1
0.0007	4.88183	0.855638	0	
0.0013	1.21462	-1.57437	0	
0.0020	-3.05991	-2.49846	0	
0.0027	-3.36356	-0.958314	0	
0.0033	-3.97087	0.547608	0	
0.0040	-8.2454	1.77973	0	
0.0047	-11.3053	0.855638	0	
0.0053	-12.5199	-3.73058	0	
0.0060	-15.5798	-6.16059	0	
0.0067	-17.0981	-4.62044	0	
0.0073	-13.4309	-4.31241	0	
0.0080	-7.94174	-4.92847	0	
0.0087	-4.27452	-2.80649	0	
0.0093	-4.88183	0.239579	0	
0.0100	-7.63809	0.239579	0	
0.0107	-6.11981	-0.342255	0	
0.0113	-4.27452	0.239579	0	
0.0120	-7.94174	2.08776	0	
0.0127	-8.8527	2.08776	0	
0.0133	-2.4526	0.239579	0	
0.0140	6.40011	-0.068451	0	
0.0147	10.9783	0.855638	0	
0.0153	8.8527	-0.958314	0	
0.0160	3.97087	-3.73058	0	
0.0167	2.73289	-3.11452	0	
0.0173	1.21462	-1.8824	0	
0.0180	-6.11981	-1.8824	0	
0.0187	-7.94174	-0.958314	0	
0.0193	0.910964	1.77973	0	
0.0200	6.70376	4.8258	0	
0.0207	5.18549	6.36594	0	
0.0213	3.97087	4.20974	0	
0.0220	6.40011	2.70382	0	
0.0227	10.9783	3.01184	0	
0.0233	12.8002	1.16367	0	
0.0240	8.8527	-0.342255	0	
0.0247	4.88183	1.77973	0	
0.0253	3.64386	1.16367	0	
0.0260	0	-1.8824	0	
0.0267	-1.54163	-0.958314	0	
0.0273	1.21462	0.239579	0	
0.0280	-0.60731	-1.8824	0	
0.0287	-6.11981	-2.80649	0	
0.0293	-7.03078	-2.80649	0	
0.0300	-6.72712	-4.62044	0	
0.0307	-4.88183	-4.92847	0	
0.0313	-0.303655	-3.42255	0	
0.0320	0.303655	-3.73058	0	
0.0327	-4.27452	-4.31241	0	
0.0333	-4.88183	-3.42255	0	
0.0340	-4.57818	-3.73058	0	
0.0347	-4.57818	-4.00438	0	
0.0353	-1.54163	-2.80649	0	
0.0360	-0.60731	-1.8824	0	
0.0367	-3.36356	-3.42255	0	
0.0373	-2.14894	-5.2365	0	
0.0380	0.303655	-3.73058	0	
0.0387	-1.84529	-0.068451	0	
0.0393	-4.27452	0.855638	0	
0.0400	-1.23798	-0.958314	0	
0.0407	3.3402	-2.80649	0	
0.0413	2.12558	-3.73058	0	
0.0420	-3.97087	-2.49846	0	
0.0427	-9.76367	-0.342255	0	
0.0433	-13.4309	-0.958314	0	
0.0440	-17.0981	-2.49846	0	
0.0447	-19.5273	-2.19043	0	
0.0453	-18.6164	-1.8824	0	
0.0460	-15.8835	-1.26634	0	
0.0467	-14.3418	-0.068451	0	
0.0473	-18.0091	-0.958314	0	
0.0480	-26.2545	-2.80649	0	
0.0487	-31.4399	-1.8824	0	
0.0493	-26.2545	0.855638	0	
0.0500	-11.609	1.16367	0	
0.0507	3.3402	0.239579	0	
0.0513	13.7345	1.77973	0	
0.0520	19.5273	3.59368	0	
0.0527	24.7128	2.70382	0	
0.0533	30.8093	2.08776	0	
0.0540	37.8401	4.20974	0	
0.0547	44.8475	4.8258	0	
0.0553	46.6928	3.90171	0	
0.0560	39.3583	4.51777	0	
0.0567	31.4166	5.44186	0	
0.0573	27.1421	3.90171	0	
0.0580	19.2237	2.39579	0	
0.0587	9.76367	1.77973	0	
0.0593	9.46001	2.39579	0	
0.0600	13.1039	1.77973	0	
0.0607	13.1039	-0.958314	0	
0.0613	14.0382	-2.49846	0	
0.0620	19.2237	0.855638	0	
0.0627	24.7128	3.90171	0	
0.0633	28.0764	3.01184	0	
0.0640	25.6238	1.77973	0	
0.0647	16.7711	2.39579	0	
0.0653	11.2819	2.08776	0	
0.0660	6.09645	-0.958314	0	
0.0667	-1.84529	-2.49846	0	
0.0673	-5.18549	-1.8824	0	
0.0680	-2.14894	-2.19043	0	
0.0687	-1.54163	-2.80649	0	
0.0693	-3.05991	-2.80649	0	
0.0700	-4.57818	-4.62044	0	
0.0707	-8.2454	-5.54453	0	
0.0713	-12.5199	-3.42255	0	
0.0720	-15.5798	-4.62044	0	
0.0727	-17.4018	-9.20666	0	
0.0733	-15.5798	-8.89863	0	
0.0740	-12.5199	-3.73058	0	
0.0747	-13.4309	-1.26634	0	
0.0753	-12.5199	-1.8824	0	
0.0760	-4.57818	-2.80649	0	
0.0767	2.73289	-1.8824	0	
0.0773	4.88183	-0.342255	0	
0.0780	4.57818	-1.8824	0	
0.0787	3.3402	-4.31241	0	
0.0793	3.97087	-2.80649	0	
0.0800	8.8527	0.855638	0	
0.0807	11.8893	1.77973	0	
0.0813	11.2819	1.77973	0	
0.0820	13.1039	1.77973	0	
0.0827	14.0382	2.39579	0	
0.0833	9.46001	1.77973	0	
0.0840	4.27452	-0.342255	0	
0.0847	2.12558	-0.958314	0	
0.0853	0.910964	1.16367	0	
0.0860	0.60731	1.77973	0	
0.0867	1.21462	0.855638	0	
0.0873	0.303655	1.77973	0	
0.0880	-1.84529	2.39579	0	
0.0887	-5.18549	-0.068451	0	
0.0893	-7.94174	-1.8824	0	
0.0900	-9.15636	-0.958314	0	
0.0907	-9.76367	-0.650285	0	
0.0913	-10.698	-0.958314	0	
0.0920	-9.76367	0.239579	0	
0.0927	-9.15636	0.855638	0	
0.0933	-7.94174	-0.342255	0	
0.0940	-3.36356	-1.26634	0	
0.0947	-2.4526	-1.8824	0	
0.0953	-3.36356	-0.958314	0	
0.0960	0.910964	1.16367	0	
0.0967	5.7928	2.70382	0	
0.0973	3.97087	2.39579	0	
0.0980	0.910964	1.16367	0	
0.0987	1.51827	0.855638	0	
0.0993	3.3402	2.70382	0	
0.1000	5.18549	6.36594	0	
0.1007	7.61473	7.56384	0	
0.1013	9.46001	5.44186	0	
0.1020	9.76367	3.59368	0	
0.1027	8.22204	4.51777	0	
0.1033	7.31107	4.51777	0	
0.1040	7.91838	2.39579	0	
0.1047	6.40011	3.01184	0	
0.1053	3.03655	6.36594	0	
0.1060	1.51827	5.44186	0	
0.1067	-0.60731	3.59368	0	
0.1073	-2.75625	5.44186	0	
0.1080	-3.36356	5.44186	0	
0.1087	-5.48914	1.77973	0	
0.1093	-7.94174	2.39579	0	
0.1100	-6.11981	3.90171	0	
0.1107	-3.66722	2.70382	0	
0.1113	0.60731	2.70382	0	
0.1120	10.0673	4.20974	0	
0.1127	15.5565	4.51777	0	
0.1133	12.1929	5.13383	0	
0.1140	7.31107	5.44186	0	
0.1147	3.97087	3.59368	0	
0.1153	1.82193	-1.26634	0	
0.1160	-0.934322	-5.2365	0	
0.1167	-3.97087	-4.92847	0	
0.1173	-2.75625	-5.2365	0	
0.1180	3.03655	-7.39271	0	
0.1187	3.64386	-8.28257	0	
0.1193	-3.36356	-8.28257	0	
0.1200	-8.8527	-9.51469	0	
0.1207	-11.609	-8.89863	0	
0.1213	-12.5199	-6.46862	0	
0.1220	-9.76367	-5.54453	0	
0.1227	-4.88183	-4.00438	0	
0.1233	0	-2.49846	0	
0.1240	4.57818	-4.31241	0	
0.1247	6.09645	-5.2365	0	
0.1253	3.97087	-3.73058	0	
0.1260	0.303655	-3.11452	0	
0.1267	-4.27452	-2.49846	0	
0.1273	-8.2454	-1.26634	0	
0.1280	-11.9126	-2.49846	0	
0.1287	-12.8236	-4.31241	0	
0.1293	-11.3053	-3.73058	0	
0.1300	-10.698	-2.19043	0	
0.1307	-10.0673	-2.19043	0	
0.1313	-7.94174	-3.42255	0	
0.1320	-7.03078	-3.11452	0	
0.1327	-3.36356	-1.57437	0	
0.1333	3.03655	-1.8824	0	
0.1340	2.12558	-3.73058	0	
0.1347	0.60731	-1.8824	0	
0.1353	7.00742	2.70382	0	
0.1360	10.371	3.01184	0	
0.1367	4.88183	0.855638	0	
0.1373	1.51827	-0.068451	0	
0.1380	0.60731	-0.068451	0	
0.1387	5.18549	1.77973	0	
0.1393	21.3493	5.74989	0	
0.1400	32.9582	7.25581	0	
0.1407	25.9274	6.05792	0	
0.1413	20.742	7.25581	0	
0.1420	25.9274	9.10399	0	
0.1427	24.4092	6.67397	0	
0.1433	15.2528	2.08776	0	
0.1440	11.2819	1.77973	0	
0.1447	6.70376	3.59368	0	
0.1453	-0.934322	2.70382	0	
0.1460	-2.4526	1.4717	0	
0.1467	2.42924	0.239579	0	
0.1473	8.8527	0.239579	0	
0.1480	16.7711	2.70382	0	
0.1487	22.8909	3.01184	0	
0.1493	20.1346	-0.650285	0	
0.1500	11.2819	-1.8824	0	
0.1507	7.61473	-0.342255	0	
0.1513	9.15636	-1.8824	0	
0.1520	6.70376	-3.11452	0	
0.1527	-0.303655	-2.19043	0	
0.1533	-4.27452	-3.11452	0	
0.1540	-3.66722	-3.42255	0	
0.1547	-3.36356	-1.26634	0	
0.1553	-2.14894	-0.958314	0	
0.1560	1.21462	-0.958314	0	
0.1567	3.03655	-0.650285	0	
0.1573	2.73289	-3.11452	0	
0.1580	4.27452	-3.73058	0	
0.1587	5.48914	-0.958314	0	
0.1593	3.97087	-1.57437	0	
0.1600	2.12558	-4.00438	0	
0.1607	3.97087	-2.19043	0	
0.1613	6.70376	-0.650285	0	
0.1620	7.00742	-0.958314	0	
0.1627	3.97087	1.77973	0	
0.1633	0.303655	3.31987	0	
0.1640	-2.4526	0.547608	0	
0.1647	-3.36356	-0.650285	0	
0.1653	-3.66722	0.855638	0	
0.1660	-3.36356	1.77973	0	
0.1667	-1.84529	1.16367	0	
0.1673	-1.84529	0.547608	0	
0.1680	-3.05991	0.239579	0	
0.1687	-1.84529	-0.068451	0	
0.1693	0.910964	-0.342255	0	
0.1700	3.03655	1.4717	0	
0.1707	5.7928	5.44186	0	
0.1713	9.46001	6.67397	0	
0.1720	12.1929	5.13383	0	
0.1727	13.1039	5.74989	0	
0.1733	12.1929	5.44186	0	
0.1740	11.2819	1.77973	0	
0.1747	9.46001	0.855638	0	
0.1753	7.00742	3.59368	0	
0.1760	7.00742	3.90171	0	
0.1767	6.70376	3.59368	0	
0.1773	3.3402	4.51777	0	
0.1780	-2.75625	4.20974	0	
0.1787	-14.3418	3.01184	0	
0.1793	-28.9874	1.77973	0	
0.1800	-35.4108	-1.8824	0	
0.1807	-33.2619	-6.46862	0	
0.1813	-32.3509	-8.89863	0	
0.1820	-28.9874	-8.28257	0	
0.1827	-22.8909	-6.46862	0	
0.1833	-25.6471	-5.54453	0	
0.1840	-32.6546	-7.08468	0	
0.1847	-30.8326	-9.20666	0	
