0.0000	0.490813	-1.55235	1
0.0007	1.11079	-2.16931	0	
0.0013	4.15899	2.10961	0	
0.0020	8.42131	4.85608	0	
0.0027	8.7313	2.70667	0	
0.0033	5.68309	0.577157	0	
0.0040	5.37311	2.40814	0	
0.0047	7.51718	3.94059	0	
0.0053	7.20719	3.0251	0	
0.0060	5.06312	3.0251	0	
0.0067	2.94488	3.32363	0	
0.0073	2.01491	1.79118	0	
0.0080	1.42077	1.19412	0	
0.0087	-1.93742	1.19412	0	
0.0093	-2.2474	1.49265	0	
0.0100	1.11079	3.0251	0	
0.0107	-3.46152	2.10961	0	
0.0113	-14.4661	-0.636863	0	
0.0120	-15.3702	0.577157	0	
0.0127	-11.1079	1.79118	0	
0.0133	-11.702	-1.55235	0	
0.0140	-10.1779	-2.16931	0	
0.0147	-5.29561	0.278627	0	
0.0153	-7.1297	-0.955294	0	
0.0160	-9.86791	-3.70176	0	
0.0167	-4.39148	-3.38333	0	
0.0173	1.11079	-2.46784	0	
0.0180	2.01491	-2.46784	0	
0.0187	1.42077	-2.78627	0	
0.0193	1.73076	-1.87078	0	
0.0200	1.11079	0.278627	0	
0.0207	0.800799	0.577157	0	
0.0213	2.63489	-0.955294	0	
0.0220	7.51718	0.278627	0	
0.0227	12.3995	2.10961	0	
0.0233	15.7577	0.875686	0	
0.0240	17.5918	1.19412	0	
0.0247	17.5918	3.0251	0	
0.0253	14.5435	3.62216	0	
0.0260	13.0194	3.94059	0	
0.0267	11.7795	3.94059	0	
0.0273	8.42131	1.19412	0	
0.0280	6.30307	-0.338333	0	
0.0287	6.61305	0.278627	0	
0.0293	5.99308	-0.955294	0	
0.0300	3.849	-2.16931	0	
0.0307	2.3249	-2.46784	0	
0.0313	1.11079	-2.78627	0	
0.0320	1.11079	-2.78627	0	
0.0327	1.11079	-2.16931	0	
0.0333	-3.46152	-2.46784	0	
0.0340	-11.392	-3.38333	0	
0.0347	-15.3702	-4.91578	0	
0.0353	-14.1561	-4.91578	0	
0.0360	-13.2261	-2.78627	0	
0.0367	-13.8461	-2.16931	0	
0.0373	-11.702	-3.70176	0	
0.0380	-6.22557	-4.29882	0	
0.0387	-4.08149	-4.00029	0	
0.0393	-4.98562	-2.46784	0	
0.0400	-1.62743	-0.636863	0	
0.0407	2.94488	-0.955294	0	
0.0413	2.94488	-2.46784	0	
0.0420	2.94488	-1.25382	0	
0.0427	6.89721	-0.338333	0	
0.0433	10.2554	-1.25382	0	
0.0440	8.42131	0.577157	0	
0.0447	7.51718	3.0251	0	
0.0453	11.4953	1.79118	0	
0.0460	13.6136	1.79118	0	
0.0467	7.51718	3.94059	0	
0.0473	1.11079	4.85608	0	
0.0480	1.42077	4.85608	0	
0.0487	1.11079	3.94059	0	
0.0493	-2.2474	0.577157	0	
0.0500	-3.77151	-0.338333	0	
0.0507	-4.39148	2.40814	0	
0.0513	-6.50972	1.79118	0	
0.0520	-8.6538	-2.16931	0	
0.0527	-10.7979	-4.29882	0	
0.0533	-11.1079	-5.21431	0	
0.0540	-8.96379	-5.21431	0	
0.0547	-10.4879	-4.91578	0	
0.0553	-12.632	-4.00029	0	
0.0560	-8.96379	-3.0848	0	
0.0567	-6.50972	-2.46784	0	
0.0573	-7.74967	-2.78627	0	
0.0580	-4.70147	-3.0848	0	
0.0587	0.490813	-0.955294	0	
0.0593	2.63489	2.70667	0	
0.0600	3.849	3.94059	0	
0.0607	4.46898	1.19412	0	
0.0613	4.15899	-1.55235	0	
0.0620	5.99308	-1.25382	0	
0.0627	7.20719	0.278627	0	
0.0633	5.68309	-0.0398039	0	
0.0640	4.77896	0.875686	0	
0.0647	6.61305	2.10961	0	
0.0653	13.0194	2.70667	0	
0.0660	18.4959	3.0251	0	
0.0667	15.1377	3.94059	0	
0.0673	7.20719	4.85608	0	
0.0680	1.73076	3.62216	0	
0.0687	-1.62743	-0.636863	0	
0.0693	-4.39148	-0.955294	0	
0.0700	-4.39148	1.19412	0	
0.0707	-1.62743	-1.25382	0	
0.0713	2.01491	-4.91578	0	
0.0720	1.11079	-5.21431	0	
0.0727	-7.43968	-6.1298	0	
0.0733	-8.96379	-7.96078	0	
0.0740	-1.03329	-8.87627	0	
