0.1113	-3.93173	-2.42252	0	
0.1120	-6.38194	-1.81266	0	
0.1127	-6.38194	-1.50772	0	
0.1133	-2.70663	-1.20279	0	
0.1140	-2.70663	0.0169407	0	
0.1147	-2.70663	0.626807	0	
0.1153	0.0284908	0.626807	0	
0.1160	0.0284908	0.321874	0	
0.1167	-2.70663	-1.50772	0	
0.1173	-4.84344	-4.25212	0	
0.1180	-4.84344	-4.86199	0	
0.1187	-3.64682	-4.55705	0	
0.1193	-2.10832	-4.25212	0	
0.1200	-0.883215	-4.25212	0	
0.1207	0.626798	-6.08172	0	
0.1213	-0.284908	-7.91131	0	
0.1220	-3.33343	-6.99652	0	
0.1227	-3.64682	-5.16692	0	
0.1233	-2.10832	-5.16692	0	
0.1240	-3.64682	-5.16692	0	
0.1247	-3.93173	-4.25212	0	
0.1253	-0.883215	-1.50772	0	
0.1260	-2.70663	2.15147	0	
0.1267	-5.15684	4.59093	0	
0.1273	-2.70663	3.98107	0	
0.1280	-3.02003	2.15147	0	
0.1287	-9.11706	1.84654	0	
0.1293	-10.969	1.23667	0	
0.1300	-8.20535	1.23667	0	
0.1307	-7.60705	2.15147	0	
0.1313	-7.29365	4.286	0	
0.1320	-7.92045	6.72546	0	
0.1327	-10.969	7.64026	0	
0.1333	-10.6556	4.89587	0	
0.1340	-6.69534	3.06627	0	
0.1347	-5.15684	4.89587	0	
0.1353	-3.64682	6.72546	0	
0.1360	-0.883215	6.72546	0	
0.1367	-3.93173	5.2008	0	
0.1373	-10.0573	0.0169407	0	
0.1380	-6.38194	-3.33732	0	
0.1387	1.8519	0.321874	0	
0.1393	-1.79492	3.98107	0	
0.1400	-10.969	2.4564	0	
0.1407	-9.43046	2.4564	0	
0.1413	-3.33343	3.06627	0	
0.1420	0.0284908	1.54161	0	
0.1427	3.98871	-0.287992	0	
0.1433	4.90042	-1.50772	0	
0.1440	0.0284908	-1.20279	0	
0.1447	-0.284908	0.321874	0	
0.1453	4.90042	-0.592925	0	
0.1460	6.12553	-2.11759	0	
0.1467	3.67532	0.626807	0	
0.1473	3.39041	2.4564	0	
0.1480	-0.284908	0.321874	0	
0.1487	-8.20535	-0.592925	0	
0.1493	-10.0573	-1.50772	0	
0.1500	-8.20535	-3.94719	0	
0.1507	-10.6556	-3.64225	0	
0.1513	-10.969	-2.42252	0	
0.1520	-4.55853	-3.03239	0	
0.1527	0.0284908	-2.42252	0	
0.1533	-0.284908	0.321874	0	
0.1540	0.940197	0.931739	0	
0.1547	4.30211	1.23667	0	
0.1553	4.90042	2.4564	0	
0.1560	4.90042	0.626807	0	
0.1567	7.03723	-1.20279	0	
0.1573	11.0259	-0.592925	0	
0.1580	14.9862	-1.50772	0	
0.1587	16.2113	-2.42252	0	
0.1593	14.9862	-0.592925	0	
0.1600	16.4962	0.0169407	0	
0.1607	20.1715	-1.50772	0	
0.1613	17.4079	-3.94719	0	
0.1620	8.26234	-6.38665	0	
0.1627	3.98871	-6.08172	0	
0.1633	9.48744	-3.33732	0	
0.1640	13.4477	-3.03239	0	
0.1647	9.48744	-3.33732	0	
0.1653	7.35063	-1.20279	0	
0.1660	7.35063	-1.81266	0	
0.1667	0.34189	-4.86199	0	
0.1673	-6.69534	-6.99652	0	
0.1680	-6.69534	-7.60638	0	
0.1687	-6.06854	-6.08172	0	
0.1693	-4.24513	-4.55705	0	
0.1700	-1.79492	-6.08172	0	
0.1707	-3.02003	-6.08172	0	
0.1713	-2.42172	-2.42252	0	
0.1720	0.940197	-1.50772	0	
0.1727	-1.79492	-3.03239	0	
0.1733	-5.47024	0.321874	0	
0.1740	-1.79492	2.15147	0	
0.1747	-1.51001	-1.50772	0	
0.1753	-2.10832	-2.72746	0	
0.1760	3.67532	-1.20279	0	
0.1767	9.80084	-1.81266	0	
0.1773	11.9377	-3.94719	0	
0.1780	13.1343	-3.64225	0	
0.1787	9.80084	-1.50772	0	
0.1793	4.61551	-2.11759	0	
0.1800	5.52722	-5.16692	0	
0.1807	7.03723	-6.38665	0	
0.1813	6.43892	-4.86199	0	
0.1820	7.94894	-3.94719	0	
0.1827	6.75232	-3.64225	0	
0.1833	1.8519	-3.64225	0	
0.1840	0.0284908	-4.86199	0	
0.1847	0.940197	-4.55705	0	
0.1853	3.07701	-2.11759	0	
0.1860	4.90042	-2.42252	0	
0.1867	2.4787	-4.25212	0	
0.1873	-3.93173	-3.94719	0	
0.1880	-9.11706	-2.72746	0	
0.1887	-10.969	-3.03239	0	
0.1893	-10.0573	-2.11759	0	
0.1900	-6.06854	0.321874	0	
0.1907	-3.64682	-0.592925	0	
0.1913	-4.55853	-0.897858	0	
0.1920	-6.38194	1.84654	0	
0.1927	-5.78364	2.15147	0	
0.1933	-6.38194	-1.50772	0	
0.1940	-8.83215	-1.50772	0	
0.1947	-10.0573	0.0169407	0	
0.1953	-8.20535	-2.42252	0	
0.1960	-3.93173	-2.11759	0	
0.1967	-1.79492	2.15147	0	
