0.1127	-9.1004	-2.98696	0	
0.1133	-5.75313	-4.20308	0	
0.1140	-2.3797	-6.95536	0	
0.1147	-1.77824	-5.44054	0	
0.1153	1.59519	-3.30699	0	
0.1160	4.341	-3.30699	0	
0.1167	2.51046	-3.60569	0	
0.1173	1.88284	-2.98696	0	
0.1180	2.79811	-2.38957	0	
0.1187	1.88284	-0.256025	0	
0.1193	1.88284	0.362703	0	
0.1200	4.02719	-1.47215	0	
0.1207	3.71338	-1.47215	0	
0.1213	1.28138	-1.15211	0	
0.1220	2.79811	-2.98696	0	
0.1227	4.62865	-3.30699	0	
0.1233	4.02719	-0.554722	0	
0.1240	5.25627	2.19755	0	
0.1247	5.85773	3.71237	0	
0.1253	0.967571	3.11498	0	
0.1260	-2.0659	2.19755	0	
0.1267	-0.235355	3.11498	0	
0.1273	-0.862969	4.62979	0	
0.1280	-3.92259	4.94982	0	
0.1287	-3.60878	4.94982	0	
0.1293	-2.69351	5.54722	0	
0.1300	-2.3797	6.16595	0	
0.1307	0.679915	6.16595	0	
0.1313	1.88284	4.94982	0	
0.1320	-0.549162	3.71237	0	
0.1327	0.366108	3.11498	0	
0.1333	4.62865	2.19755	0	
0.1340	4.62865	1.28013	0	
0.1347	0.679915	2.19755	0	
0.1353	-0.549162	4.0324	0	
0.1360	0.0523012	4.94982	0	
0.1367	-0.549162	5.86725	0	
0.1373	-0.862969	4.94982	0	
0.1380	-0.235355	3.11498	0	
0.1387	-0.862969	4.62979	0	
0.1393	-2.0659	8.00079	0	
0.1400	-3.29497	8.29949	0	
0.1407	-3.60878	5.86725	0	
0.1413	-2.0659	3.11498	0	
0.1420	0.967571	0.981431	0	
0.1427	1.88284	1.28013	0	
0.1433	0.967571	1.57882	0	
0.1440	0.967571	-0.554722	0	
0.1447	0.366108	-2.68827	0	
0.1453	-1.77824	-0.853418	0	
0.1460	-2.0659	2.19755	0	
0.1467	-2.3797	2.79494	0	
0.1473	-6.04078	0.362703	0	
0.1480	-8.78659	-1.47215	0	
0.1487	-6.6684	0.362703	0	
0.1493	-5.43932	0.0640064	0	
0.1500	-8.49894	-2.68827	0	
0.1507	-9.70186	-2.98696	0	
0.1513	-6.95605	-1.77084	0	
0.1520	-7.26986	-2.98696	0	
0.1527	-10.9309	-2.38957	0	
0.1533	-11.5324	0.0640064	0	
0.1540	-10.0157	-1.77084	0	
0.1547	-8.49894	-3.30699	0	
0.1553	-7.26986	0.0640064	0	
0.1560	-8.18513	1.28013	0	
0.1567	-11.8462	-0.554722	0	
0.1573	-10.9309	-0.554722	0	
0.1580	-6.04078	-0.256025	0	
0.1587	-4.21024	-1.77084	0	
0.1593	-5.43932	-2.38957	0	
0.1600	-4.52405	-1.47215	0	
0.1607	-2.69351	-1.77084	0	
0.1613	-1.46443	-2.68827	0	
0.1620	-1.46443	-2.98696	0	
0.1627	-2.98117	-2.68827	0	
0.1633	-1.15063	-1.77084	0	
0.1640	2.51046	-0.554722	0	
0.1647	0.366108	-1.15211	0	
0.1653	-5.12551	-0.554722	0	
0.1660	-3.92259	2.49625	0	
0.1667	0.0523012	2.79494	0	
0.1673	-1.77824	0.0640064	0	
0.1680	-3.29497	0.362703	0	
0.1687	-1.77824	0.0640064	0	
0.1693	-4.52405	-3.60569	0	
0.1700	-10.6171	-5.12051	0	
0.1707	-11.8462	-4.52312	0	
0.1713	-10.9309	-6.35796	0	
0.1720	-11.8462	-7.87278	0	
0.1727	-11.8462	-6.95536	0	
0.1733	-10.6171	-6.35796	0	
0.1740	-6.95605	-6.03793	0	
0.1747	-1.77824	-4.52312	0	
0.1753	0.366108	-4.20308	0	
0.1760	-1.15063	-5.44054	0	
0.1767	-1.77824	-4.52312	0	
0.1773	-2.69351	-2.06954	0	
0.1780	-5.75313	-0.853418	0	
0.1787	-5.75313	-1.47215	0	
0.1793	-2.3797	-0.554722	0	
0.1800	-1.77824	0.362703	0	
0.1807	-2.98117	-0.554722	0	
0.1813	-2.3797	-2.06954	0	
0.1820	-1.15063	0.0640064	0	
0.1827	-2.0659	2.79494	0	
0.1833	-2.69351	1.28013	0	
0.1840	-1.15063	-1.47215	0	
0.1847	-0.549162	-1.77084	0	
0.1853	0.366108	-1.47215	0	
0.1860	4.02719	-1.47215	0	
0.1867	7.37446	0.0640064	0	
0.1873	5.54392	0.0640064	0	
0.1880	1.28138	-1.77084	0	
0.1887	-2.3797	-1.77084	0	
0.1893	-4.52405	0.362703	0	
0.1900	-2.3797	1.28013	0	
0.1907	1.59519	-0.554722	0	
0.1913	2.79811	-1.47215	0	
0.1920	2.51046	0.0640064	0	
0.1927	2.79811	0.0640064	0	
0.1933	1.59519	0.0640064	0	
0.1940	0.967571	0.0640064	0	
0.1947	2.79811	0.0640064	0	
0.1953	3.71338	0.0640064	0	
0.1960	2.51046	0.0640064	0	
0.1967	4.02719	0.0640064	0	
0.1973	5.54392	0.0640064	0	
0.1980	4.62865	0.0640064	0	
0.1987	6.17154	0.0640064	0	
0.1993	10.1203	0.0640064	0	
0.2000	10.1203	0.0640064	0	
0.2007	8.60354	0.0640064	0	
0.2013	10.1203	0.0640064	0	
0.2020	11.3494	0.0640064	0	
0.2027	8.91735	0.0640064	0	
0.2033	4.94246	0.0640064	0	
0.2040	4.62865	2.49625	0	
0.2047	6.17154	1.28013	0	
0.2053	3.11192	1.28013	0	
0.2060	-0.549162	2.19755	0	
0.2067	0.0523012	2.79494	0	
0.2073	0.0523012	2.19755	0	
0.2080	-2.98117	2.19755	0	
0.2087	-2.0659	1.57882	0	
0.2093	0.0523012	-0.554722	0	
0.2100	-1.77824	-2.68827	0	
0.2107	-2.69351	-2.68827	0	
0.2113	-0.862969	-1.47215	0	
0.2120	-1.77824	-0.853418	0	
0.2127	-3.60878	-0.554722	0	
0.2133	-2.98117	1.28013	0	
0.2140	-1.77824	2.79494	0	
0.2147	-0.862969	1.89886	0	
0.2153	-2.0659	2.49625	0	
0.2160	-4.21024	5.24852	0	
0.2167	-2.0659	5.86725	0	
0.2173	2.51046	4.0324	0	
0.2180	2.79811	2.19755	0	
0.2187	1.88284	1.28013	0	
0.2193	5.85773	2.19755	0	
0.2200	8.28973	2.49625	0	
0.2207	4.341	2.19755	0	
0.2213	1.59519	2.79494	0	
0.2220	3.71338	0.981431	0	
0.2227	4.94246	-2.38957	0	
0.2233	4.02719	-1.77084	0	
0.2240	4.62865	-1.47215	0	
0.2247	4.62865	-2.98696	0	
0.2253	1.88284	-2.06954	0	
0.2260	0.967571	-1.77084	0	
0.2267	4.62865	-4.20308	0	
0.2273	5.54392	-4.20308	0	
0.2280	2.19665	-1.77084	0	
0.2287	0.0523012	-1.15211	0	
0.2293	-1.15063	-1.15211	0	
0.2300	-2.69351	-1.77084	0	
0.2307	-1.15063	-0.853418	0	
0.2313	-0.235355	2.79494	0	
0.2320	-2.0659	3.11498	0	
0.2327	-1.46443	-0.853418	0	
0.2333	-0.862969	0.0640064	0	
0.2340	-1.77824	5.54722	0	
0.2347	0.366108	6.76334	0	
0.2353	0.679915	4.94982	0	
0.2360	-4.52405	3.11498	0	
0.2367	-3.60878	1.57882	0	
0.2373	0.967571	1.28013	0	
0.2380	-1.77824	0.661399	0	
0.2387	-4.52405	0.362703	0	
0.2393	-1.77824	2.49625	0	
0.2400	0.0523012	3.11498	0	
0.2407	0.0523012	0.661399	0	
0.2413	0.366108	1.89886	0	
0.2420	-0.862969	5.24852	0	
0.2427	-0.862969	3.41367	0	
0.2433	0.679915	0.661399	0	
0.2440	-1.77824	2.79494	0	
0.2447	-3.60878	3.11498	0	
0.2453	0.967571	0.661399	0	
0.2460	0.967571	1.28013	0	
0.2467	-7.87132	3.41367	0	
0.2473	-13.0753	3.41367	0	
0.2480	-10.0157	1.28013	0	
0.2487	-7.26986	-0.554722	0	
0.2493	-7.26986	0.362703	0	
0.2500	-4.52405	2.19755	0	
0.2507	-0.235355	1.57882	0	
0.2513	0.967571	-0.853418	0	
0.2520	0.967571	-0.554722	0	
0.2527	2.79811	1.28013	0	
0.2533	3.42573	0.0640064	0	
0.2540	1.59519	-4.20308	0	
0.2547	1.59519	-3.90439	0	
0.2553	3.11192	-0.256025	0	
0.2560	2.51046	-1.47215	0	
0.2567	0.967571	-5.12051	0	
0.2573	2.51046	-4.52312	0	
0.2580	4.62865	-3.30699	0	
0.2587	5.85773	-4.20308	0	
0.2593	5.54392	-2.06954	0	
0.2600	3.42573	0.362703	0	
0.2607	0.967571	-1.47215	0	
0.2613	2.19665	-1.15211	0	
0.2620	4.62865	1.28013	0	
0.2627	4.94246	0.362703	0	
0.2633	6.45919	-0.554722	0	
0.2640	10.1203	-0.256025	0	
0.2647	8.00208	-1.47215	0	
0.2653	1.88284	-2.38957	0	
0.2660	1.88284	-1.15211	0	
0.2667	4.62865	-1.15211	0	
0.2673	2.79811	-0.554722	0	
0.2680	3.11192	0.661399	0	
0.2687	5.54392	-0.554722	0	
0.2693	2.79811	-2.98696	0	
0.2700	-0.862969	-1.47215	0	
0.2707	-0.235355	0.362703	0	
0.2713	1.28138	-0.853418	0	
0.2720	3.71338	-0.554722	0	
0.2727	6.45919	3.11498	0	
0.2733	4.62865	3.11498	0	
0.2740	1.28138	1.57882	0	
0.2747	3.71338	2.19755	0	
0.2753	4.94246	2.19755	0	
0.2760	2.79811	2.19755	0	
0.2767	4.62865	3.11498	0	
0.2773	7.68827	0.362703	0	
0.2780	5.54392	-3.30699	0	
0.2787	1.88284	-1.15211	0	
0.2793	1.88284	0.981431	0	
0.2800	1.88284	-1.47215	0	
0.2807	2.19665	-2.06954	0	
0.2813	4.02719	-1.47215	0	
0.2820	4.62865	-2.38957	0	
0.2827	1.59519	-0.554722	0	
0.2833	-3.60878	0.981431	0	
0.2840	-5.75313	0.661399	0	
0.2847	-5.12551	2.19755	0	
0.2853	-3.60878	2.79494	0	
0.2860	-2.0659	0.661399	0	
0.2867	0.0523012	-0.554722	0	
0.2873	-1.46443	-0.256025	0	
0.2880	-9.1004	-2.06954	0	
0.2887	-13.6768	-3.90439	0	
0.2893	-11.2447	-2.38957	0	
0.2900	-9.1004	-0.853418	0	
0.2907	-8.78659	-1.77084	0	
0.2913	-6.6684	-1.77084	0	
0.2920	-4.21024	-0.256025	0	
0.2927	-3.29497	-1.77084	0	
0.2933	-1.46443	-4.20308	0	
0.2940	0.0523012	-2.06954	0	
0.2947	0.0523012	0.981431	0	
0.2953	0.0523012	-1.15211	0	
0.2960	0.967571	-3.30699	0	
0.2967	2.79811	-2.06954	0	
0.2973	4.62865	-2.38957	0	
0.2980	3.42573	-3.30699	0	
0.2987	2.51046	-2.38957	0	
0.2993	3.11192	-2.68827	0	
0.3000	1.59519	-5.73924	0	
0.3007	0.967571	-6.65666	0	
0.3013	2.19665	-5.44054	0	
0.3020	0.967571	-5.12051	0	
0.3027	-0.235355	-4.20308	0	
0.3033	1.28138	-1.77084	0	
0.3040	1.59519	-2.98696	0	
0.3047	0.967571	-5.12051	0	
0.3053	2.51046	-4.20308	0	
0.3060	2.51046	-3.30699	0	
0.3067	-0.549162	-2.38957	0	
0.3073	-1.46443	-2.38957	0	
0.3080	0.679915	-4.20308	0	
0.3087	2.79811	-3.30699	0	
0.3093	3.71338	-1.15211	0	
0.3100	2.51046	-2.68827	0	
0.3107	1.28138	-2.38957	0	
0.3113	0.679915	1.57882	0	
0.3120	-1.15063	-0.256025	0	
0.3127	0.0523012	-0.256025	0	
0.3133	3.71338	-0.256025	0	
0.3140	2.79811	-0.256025	0	
0.3147	-4.52405	-0.256025	0	
0.3153	-10.9309	-0.256025	0	
0.3160	-8.78659	-0.256025	0	
0.3167	-3.60878	-0.256025	0	
0.3173	-3.29497	-0.256025	0	
0.3180	-5.75313	-0.256025	0	
0.3187	-3.60878	-0.256025	0	
0.3193	0.967571	-0.256025	0	
0.3200	4.94246	-0.256025	0	
0.3207	9.205	-0.256025	0	
0.3213	10.1203	-0.256025	0	
0.3220	4.62865	-0.256025	0	
0.3227	0.679915	-0.256025	0	
0.3233	-0.862969	-0.256025	0	
0.3240	-2.69351	2.19755	0	
0.3247	-2.0659	3.11498	0	
0.3253	-0.549162	-0.256025	0	
0.3260	-2.69351	-0.554722	0	
0.3267	-5.43932	2.19755	0	
0.3273	-4.21024	1.28013	0	
0.3280	-5.12551	-0.554722	0	
0.3287	-9.70186	-0.554722	0	
0.3293	-10.9309	-1.15211	0	
0.3300	-8.18513	-0.554722	0	
0.3307	-6.35459	0.362703	0	
0.3313	-4.83786	-2.06954	0	
0.3320	-2.98117	-2.98696	0	
0.3327	-2.98117	-0.256025	0	
0.3333	-2.69351	0.362703	0	
0.3340	-1.77824	-0.554722	0	
0.3347	-4.52405	0.362703	0	
0.3353	-6.04078	1.28013	0	
0.3360	-1.15063	0.0640064	0	
0.3367	0.0523012	-0.256025	0	
0.3373	-4.52405	-0.256025	0	
0.3380	-4.52405	-1.15211	0	
0.3387	-1.46443	-0.853418	0	
0.3393	-1.77824	-0.853418	0	
0.3400	-1.77824	-2.38957	0	
0.3407	0.366108	-2.38957	0	
0.3413	0.0523012	-0.554722	0	
0.3420	-0.549162	-0.554722	0	
0.3427	0.0523012	-3.30699	0	
0.3433	-0.549162	-2.98696	0	
0.3440	0.967571	-2.38957	0	
0.3447	4.02719	-4.82181	0	
0.3453	1.59519	-5.44054	0	
0.3460	-3.29497	-2.38957	0	
0.3467	-1.77824	-2.68827	0	
0.3473	1.88284	-4.20308	0	
0.3480	0.967571	-3.90439	0	
0.3487	-2.69351	-5.44054	0	
0.3493	-3.92259	-10.0063	0	
0.3500	-5.75313	-7.87278	0	
0.3507	-8.49894	-2.38957	0	
0.3513	-7.58367	-1.77084	0	
0.3520	-1.77824	-3.60569	0	
0.3527	0.967571	-2.98696	0	
0.3533	0.679915	-3.60569	0	
0.3540	0.967571	-4.20308	0	
0.3547	2.19665	-3.90439	0	
0.3553	3.11192	-5.12051	0	
0.3560	6.45919	-6.03793	0	
0.3567	9.83262	-3.30699	0	
0.3573	8.60354	-0.554722	0	
0.3580	7.37446	-1.77084	0	
0.3587	10.1203	0.0640064	0	
0.3593	12.5784	4.0324	0	
0.3600	11.3494	2.49625	0	
0.3607	9.205	-1.15211	0	
0.3613	6.773	-0.853418	0	
0.3620	4.02719	-0.256025	0	
0.3627	3.11192	-1.47215	0	
0.3633	5.25627	-2.68827	0	
0.3640	6.773	-3.30699	0	
0.3647	5.85773	-4.20308	0	
0.3653	5.85773	-4.20308	0	
0.3660	7.37446	-2.06954	0	
0.3667	5.54392	0.0640064	0	
0.3673	1.88284	1.28013	0	
0.3680	0.967571	1.28013	0	
0.3687	0.679915	0.981431	0	
0.3693	-3.60878	0.0640064	0	
0.3700	-6.04078	-0.554722	0	
0.3707	-2.69351	-1.47215	0	
0.3713	0.366108	-1.47215	0	
0.3720	-0.235355	0.362703	0	
0.3727	-0.862969	1.28013	0	
0.3733	-2.69351	1.28013	0	
0.3740	-6.6684	1.28013	0	
0.3747	-5.43932	0.0640064	0	
0.3753	0.967571	0.0640064	0	
0.3760	1.28138	2.49625	0	
0.3767	-1.77824	-0.554722	0	
0.3773	-4.52405	-6.35796	0	
0.3780	-8.49894	-2.68827	0	
0.3787	-9.70186	4.0324	0	
0.3793	-4.21024	2.79494	0	
0.3800	-0.862969	0.0640064	0	
0.3807	-2.69351	0.661399	0	
0.3813	-2.69351	-0.853418	0	
0.3820	-0.235355	-2.38957	0	
0.3827	1.88284	-0.554722	0	
0.3833	1.88284	-1.15211	0	
0.3840	-2.98117	-2.68827	0	
0.3847	-8.49894	-1.47215	0	
0.3853	-7.26986	0.362703	0	
0.3860	-4.52405	0.981431	0	
0.3867	-2.69351	1.89886	0	
0.3873	-0.862969	2.49625	0	
0.3880	-1.46443	1.28013	0	
0.3887	-2.98117	-1.77084	0	
0.3893	-0.549162	-2.38957	0	
0.3900	4.02719	-1.47215	0	
0.3907	5.25627	-1.77084	0	
0.3913	3.71338	-0.853418	0	
0.3920	2.51046	1.57882	0	
0.3927	3.71338	2.19755	0	
0.3933	6.45919	2.49625	0	
0.3940	7.08681	3.41367	0	
0.3947	6.45919	1.89886	0	
0.3953	7.68827	1.28013	0	
0.3960	8.28973	4.0324	0	
0.3967	6.45919	3.71237	0	
0.3973	6.17154	0.661399	0	
0.3980	7.37446	2.49625	0	
0.3987	6.45919	5.54722	0	
0.3993	3.71338	2.79494	0	
0.4000	1.28138	-0.554722	0	
0.4007	0.679915	-1.47215	0	
0.4013	0.967571	-2.68827	0	
0.4020	1.88284	-3.30699	0	
0.4027	2.79811	-1.47215	0	
0.4033	0.366108	-2.06954	0	
0.4040	-3.92259	-5.44054	0	
0.4047	-7.26986	-5.12051	0	
0.4053	-8.18513	-2.98696	0	
0.4060	-7.26986	-4.82181	0	
0.4067	-9.70186	-7.27539	0	
0.4073	-11.8462	-5.12051	0	
0.4080	-9.1004	-3.60569	0	
0.4087	-4.52405	-4.82181	0	
0.4093	-4.83786	-5.73924	0	
0.4100	-5.43932	-4.52312	0	
0.4107	-5.75313	-3.30699	0	
0.4113	-7.26986	-2.98696	0	
0.4120	-5.12551	-3.30699	0	
0.4127	-0.862969	-3.90439	0	
0.4133	-0.235355	-3.60569	0	
0.4140	0.0523012	-2.38957	0	
0.4147	0.967571	-1.47215	0	
0.4153	-2.0659	-0.853418	0	
0.4160	-8.18513	1.28013	0	
0.4167	-7.87132	3.41367	0	
0.4173	-2.0659	2.79494	0	
0.4180	1.88284	0.661399	0	
0.4187	3.11192	0.661399	0	
0.4193	3.71338	1.28013	0	
0.4200	1.88284	1.89886	0	
0.4207	-0.549162	3.11498	0	
0.4213	0.967571	3.41367	0	
0.4220	3.42573	1.28013	0	
0.4227	2.79811	-0.554722	0	
0.4233	2.19665	2.49625	0	
0.4240	2.19665	4.94982	0	
