0.1127	-4.46102	0.184945	0	
0.1133	-10.8737	0.493187	0	
0.1140	-20.3255	1.08912	0	
0.1147	-26.4315	-0.431538	0	
0.1153	-26.4315	-1.35626	0	
0.1160	-29.4985	-0.431538	0	
0.1167	-34.6844	-0.123297	0	
0.1173	-32.8442	-0.73978	0	
0.1180	-27.3516	-1.35626	0	
0.1187	-26.1248	-1.64396	0	
0.1193	-23.3925	-1.35626	0	
0.1200	-18.2065	-1.35626	0	
0.1207	-12.7139	-3.47286	0	
0.1213	-4.46102	-4.08934	0	
0.1220	5.29746	-3.18517	0	
0.1227	11.0968	-2.26044	0	
0.1233	14.7492	-2.26044	0	
0.1240	21.7753	-1.04802	0	
0.1247	28.4948	1.39736	0	
0.1253	30.0282	1.08912	0	
0.1260	29.4148	-1.04802	0	
0.1267	29.7215	-0.431538	0	
0.1273	28.8014	1.08912	0	
0.1280	27.268	0.184945	0	
0.1287	27.5747	-1.35626	0	
0.1293	25.1211	-2.26044	0	
0.1300	14.7492	-2.26044	0	
0.1307	2.8439	-0.73978	0	
0.1313	-0.19517	-1.9522	0	
0.1320	-2.03534	-4.70582	0	
0.1327	-9.06144	-4.08934	0	
0.1333	-16.3664	-2.87692	0	
0.1340	-20.9389	-3.18517	0	
0.1347	-27.3516	-2.26044	0	
0.1353	-32.8442	-1.35626	0	
0.1360	-31.9242	-2.56868	0	
0.1367	-30.7253	-2.26044	0	
0.1373	-31.9242	-1.35626	0	
0.1380	-30.4186	-2.26044	0	
0.1387	-26.7382	-1.35626	0	
0.1393	-21.859	0.780879	0	
0.1400	-15.4463	-0.73978	0	
0.1407	-9.06144	-0.73978	0	
0.1413	-3.54093	2.01385	0	
0.1420	2.8439	1.39736	0	
0.1427	10.1767	-0.431538	0	
0.1433	18.1229	-0.123297	0	
0.1440	26.0412	-2.26044	0	
0.1447	30.307	-4.39758	0	
0.1453	33.0673	-4.39758	0	
0.1460	37.0265	-3.7811	0	
0.1467	36.7198	-2.26044	0	
0.1473	33.0673	-0.73978	0	
0.1480	32.1472	-3.18517	0	
0.1487	31.2271	-4.70582	0	
0.1493	25.7345	-4.08934	0	
0.1500	19.9352	-5.01407	0	
0.1507	14.1359	-5.91824	0	
0.1513	6.83093	-2.26044	0	
0.1520	-0.80856	-1.04802	0	
0.1527	-10.2603	-4.08934	0	
0.1533	-21.2456	-3.7811	0	
0.1540	-28.2717	-1.04802	0	
0.1547	-29.4985	-0.431538	0	
0.1553	-30.1119	-0.73978	0	
0.1560	-33.7643	-1.04802	0	
0.1567	-36.5246	-0.73978	0	
0.1573	-33.1509	-0.431538	0	
0.1580	-28.2717	-1.35626	0	
0.1587	-27.965	-2.26044	0	
