0.0000	-8.84511	5.48359	1
0.0007	-11.5801	9.14681	0	
0.0013	-10.3581	11.5964	0	
0.0020	-9.74707	9.7536	0	
0.0027	-8.84511	8.54002	0	
0.0033	-5.79005	9.14681	0	
0.0040	-3.34601	8.83218	0	
0.0047	-4.85899	8.83218	0	
0.0053	-5.47	7.93323	0	
0.0060	-0.611011	5.19143	0	
0.0067	3.98612	5.19143	0	
0.0073	4.88808	5.79822	0	
0.0080	4.88808	3.66322	0	
0.0087	2.15308	6.09038	0	
0.0093	-2.12399	10.9897	0	
0.0100	0	9.7536	0	
0.0107	6.11011	6.69717	0	
0.0113	7.65218	7.01181	0	
0.0120	7.65218	4.56217	0	
0.0127	10.3872	-0.314632	0	
0.0133	15.8863	-0.314632	0	
0.0140	25.9534	0	0	
0.0147	31.1324	-0.314632	0	
0.0153	24.7314	1.52821	0	
0.0160	15.8863	2.135	0	
0.0167	13.1222	-0.314632	0	
0.0173	14.6643	-1.23606	0	
0.0180	10.9982	-0.314632	0	
0.0187	-2.735	-0.314632	0	
0.0193	-16.7591	-0.314632	0	
0.0200	-21.9673	-0.921423	0	
0.0207	-30.8124	-1.52821	0	
0.0213	-38.1445	0.292159	0	
0.0220	-21.6472	1.82037	0	
0.0227	2.7641	0	0	
0.0233	10.0962	-2.135	0	
0.0240	8.55415	-3.05643	0	
0.0247	10.3872	-2.135	0	
0.0253	18.3303	-2.44964	0	
0.0260	32.0635	-3.37106	0	
0.0267	33.8965	-3.05643	0	
0.0273	17.1083	-1.23606	0	
0.0280	1.22202	0.292159	0	
0.0287	-10.6781	-0.314632	0	
0.0293	-22.5783	-2.76427	0	
0.0300	-19.8142	-4.58464	0	
0.0307	-7.01207	-3.97785	0	
0.0313	-5.79005	-2.44964	0	
0.0320	-9.13606	-3.97785	0	
0.0327	-7.91404	-5.19143	0	
0.0333	-9.13606	-4.58464	0	
0.0340	-8.84511	-3.97785	0	
0.0347	-3.95702	-5.79822	0	
0.0353	-4.85899	-7.32644	0	
0.0360	-5.17904	-4.58464	0	
0.0367	3.05505	-2.76427	0	
0.0373	11.2891	-2.76427	0	
0.0380	18.0103	-1.23606	0	
0.0387	28.6884	-1.84285	0	
0.0393	33.5765	-6.11286	0	
0.0400	25.9534	-5.79822	0	
0.0407	15.2753	-0.629265	0	
0.0413	7.65218	1.52821	0	
0.0420	4.88808	0.606791	0	
0.0427	2.15308	-0.921423	0	
0.0433	-11.5801	-3.97785	0	
0.0440	-23.4803	-4.89927	0	
0.0447	-17.6902	-3.97785	0	
0.0453	-9.74707	-3.66322	0	
0.0460	-10.0671	-3.05643	0	
0.0467	-4.56803	-0.921423	0	
0.0473	0.320053	-0.629265	0	
0.0480	-7.30303	-2.135	0	
0.0487	-11.5801	-3.97785	0	
0.0493	-7.91404	-4.89927	0	
0.0500	-7.30303	-3.97785	0	
0.0507	-1.51298	-2.135	0	
0.0513	12.8312	-3.05643	0	
