0.0000	1.15476	1.71451	1
0.0007	-2.80442	1.37161	0	
0.0013	-1.26474	-0.137161	0	
0.0020	1.15476	-1.64593	0	
0.0027	0.274944	0.480062	0	
0.0033	-1.26474	1.09728	0	
0.0040	-0.659865	-1.98883	0	
0.0047	0.274944	-1.64593	0	
0.0053	-1.26474	1.98883	0	
0.0060	-1.59467	2.26315	0	
0.0067	-0.0549887	-1.37161	0	
0.0073	-2.19955	-3.22327	0	
0.0080	-5.55386	-2.26315	0	
0.0087	-4.94898	-0.480062	0	
0.0093	-6.15874	0.754383	0	
0.0100	-9.84298	1.71451	0	
0.0107	-6.48867	1.98883	0	
0.0113	-1.86962	-0.137161	0	
0.0120	-4.61905	-1.37161	0	
0.0127	-6.15874	-0.480062	0	
0.0133	-2.80442	0.137161	0	
0.0140	-1.59467	0.137161	0	
0.0147	-0.989797	-0.480062	0	
0.0153	0.274944	-1.0287	0	
0.0160	0.549887	-0.480062	0	
0.0167	2.08957	-0.480062	0	
0.0173	3.9042	-1.98883	0	
0.0180	2.69445	0.480062	0	
0.0187	2.96939	3.84049	0	
0.0193	4.50907	-0.480062	0	
0.0200	3.29932	-5.00636	0	
0.0207	4.23413	-2.26315	0	
0.0213	7.58844	-1.37161	0	
0.0220	6.65363	-2.88037	0	
0.0227	3.9042	-0.754383	0	
0.0233	2.69445	-1.64593	0	
0.0240	-0.384921	-5.96648	0	
0.0247	-1.86962	-2.60605	0	
0.0253	0.274944	0.754383	0	
0.0260	0.274944	-2.88037	0	
0.0267	-0.989797	-2.26315	0	
0.0273	-0.659865	2.26315	0	
0.0280	-1.86962	2.26315	0	
0.0287	-2.80442	3.49759	0	
0.0293	-0.659865	8.98401	0	
0.0300	-0.989797	8.98401	0	
0.0307	-3.73923	6.85803	0	
0.0313	-3.73923	8.70969	0	
0.0320	-1.59467	6.85803	0	
0.0327	-1.59467	1.37161	0	
0.0333	-3.13436	0.480062	0	
0.0340	-3.73923	1.37161	0	
0.0347	-0.659865	0.480062	0	
0.0353	2.36451	-0.137161	0	
0.0360	0.549887	-1.37161	0	
0.0367	-0.659865	-2.60605	0	
0.0373	4.23413	-2.26315	0	
0.0380	7.25851	-0.754383	0	
0.0387	5.11395	-0.480062	0	
0.0393	4.83901	-1.37161	0	
0.0400	5.71883	-6.2408	0	
0.0407	3.29932	-10.2185	0	
0.0413	2.96939	-8.09247	0	
0.0420	3.9042	-5.00636	0	
0.0427	1.15476	-5.34926	0	
0.0433	-1.59467	-5.34926	0	
0.0440	0.274944	-4.73204	0	
0.0447	1.4847	-5.00636	0	
0.0453	-0.659865	-4.11482	0	
0.0460	-2.19955	-3.22327	0	
0.0467	-1.26474	-2.60605	0	
0.0473	-0.659865	-1.64593	0	
0.0480	-2.47449	-0.754383	0	
0.0487	-5.22393	-0.754383	0	
0.0493	-6.15874	-0.137161	0	
0.0500	-4.34411	1.09728	0	
0.0507	-3.13436	1.71451	0	
0.0513	-3.4093	1.37161	0	
0.0520	-1.86962	0.480062	0	
0.0527	0.274944	-0.754383	0	
0.0533	0.274944	-1.64593	0	
0.0540	1.15476	-1.37161	0	
0.0547	1.15476	0.137161	0	
0.0553	-0.384921	1.09728	0	
0.0560	0.274944	0.480062	0	
0.0567	3.62925	0.480062	0	
0.0573	4.83901	3.22327	0	
0.0580	3.9042	6.5837	0	
0.0587	2.36451	7.20093	0	
0.0593	1.15476	4.45772	0	
0.0600	2.08957	1.37161	0	
0.0607	3.29932	1.71451	0	
0.0613	0.879819	3.22327	0	
0.0620	-0.384921	2.26315	0	
0.0627	1.15476	1.98883	0	
0.0633	-0.659865	4.11482	0	
0.0640	-2.47449	4.45772	0	
0.0647	-1.26474	1.37161	0	
0.0653	-2.47449	-0.137161	0	
0.0660	-4.01418	1.09728	0	
0.0667	-3.13436	0.137161	0	
0.0673	-3.73923	-4.11482	0	
0.0680	-5.55386	-7.13235	0	
0.0687	-4.61905	-6.2408	0	
0.0693	-4.01418	-4.11482	0	
0.0700	-3.4093	-2.26315	0	
0.0707	-1.86962	-0.137161	0	
0.0713	-2.80442	0.480062	0	
0.0720	-4.34411	-2.26315	0	
0.0727	-1.86962	-4.11482	0	
0.0733	0.274944	-1.37161	0	
0.0740	0.274944	2.60605	0	
0.0747	1.75964	3.49759	0	
0.0753	3.29932	2.60605	0	
0.0760	3.29932	-0.480062	0	
0.0767	4.50907	-3.22327	0	
0.0773	4.83901	0.754383	0	
0.0780	3.29932	5.34926	0	
0.0787	3.29932	2.26315	0	
0.0793	3.9042	-1.98883	0	
0.0800	1.4847	-1.0287	0	
0.0807	-0.0549887	-0.137161	0	
0.0813	0.549887	-0.480062	0	
0.0820	1.4847	1.37161	0	
0.0827	0.274944	3.22327	0	
0.0833	-2.80442	1.09728	0	
0.0840	-5.22393	-1.0287	0	
0.0847	-3.13436	-1.98883	0	
0.0853	-1.26474	-2.60605	0	
0.0860	-2.47449	-2.26315	0	
0.0867	-4.01418	-0.480062	0	
0.0873	-4.94898	0.137161	0	
0.0880	-5.22393	-1.0287	0	
0.0887	-2.80442	-0.480062	0	
0.0893	-1.26474	0.480062	0	
0.0900	-3.73923	-1.0287	0	
0.0907	-5.22393	-0.137161	0	
0.0913	-3.13436	3.49759	0	
0.0920	-0.989797	2.26315	0	
0.0927	-0.0549887	-1.0287	0	
0.0933	-0.0549887	-1.37161	0	
0.0940	-1.59467	-1.0287	0	
0.0947	-1.26474	-0.480062	0	
0.0953	1.15476	2.26315	0	
0.0960	1.75964	1.37161	0	
0.0967	1.15476	-3.22327	0	
0.0973	2.08957	-3.84049	0	
0.0980	1.75964	-2.60605	0	
0.0987	1.75964	-5.00636	0	
0.0993	2.08957	-5.96648	0	
0.1000	1.4847	-2.60605	0	
0.1007	2.08957	0.480062	0	
0.1013	3.29932	1.71451	0	
0.1020	1.15476	1.37161	0	
0.1027	-1.26474	0.480062	0	
0.1033	-0.989797	0.754383	0	
0.1040	-3.4093	3.84049	0	
0.1047	-7.09354	8.36679	0	
0.1053	-6.76361	12.3444	0	
0.1060	-5.8288	12.3444	0	
0.1067	-5.55386	11.4529	0	
0.1073	-3.73923	13.5789	0	
0.1080	-4.01418	15.4306	0	
0.1087	-6.76361	17.8309	0	
0.1093	-5.55386	23.3859	0	
0.1100	-2.19955	21.8085	0	
0.1107	-1.59467	14.4704	0	
0.1113	-1.59467	11.4529	0	
0.1120	-0.659865	1.37161	0	
0.1127	-0.659865	-26.0605	0	
0.1133	-0.0549887	-41.9711	0	
0.1140	2.69445	-30.9983	0	
0.1147	3.62925	-17.5565	0	
0.1153	3.62925	-15.0877	0	
0.1160	4.83901	-14.8133	0	
0.1167	4.83901	-12.3444	0	
0.1173	3.29932	-8.98401	0	
0.1180	3.9042	-5.34926	0	
0.1187	4.83901	-5.00636	0	
0.1193	5.11395	-6.5837	0	
0.1200	3.9042	-7.13235	0	
0.1207	2.36451	-7.47525	0	
0.1213	3.29932	-5.00636	0	
0.1220	4.83901	-3.22327	0	
0.1227	2.96939	-5.34926	0	
0.1233	0.274944	-5.96648	0	
0.1240	1.15476	-3.84049	0	
0.1247	0.879819	-3.49759	0	
0.1253	-0.659865	-4.11482	0	
0.1260	0.549887	-3.22327	0	
0.1267	0.549887	-1.37161	0	
0.1273	-4.34411	1.37161	0	
0.1280	-6.15874	3.49759	0	
0.1287	-3.13436	4.45772	0	
0.1293	-1.86962	5.62358	0	
0.1300	-2.47449	4.73204	0	
0.1307	-0.989797	1.37161	0	
0.1313	1.75964	0.754383	0	
0.1320	2.96939	2.88037	0	
0.1327	2.69445	4.45772	0	
0.1333	1.15476	4.45772	0	
0.1340	-0.659865	2.26315	0	
0.1347	-1.59467	-0.137161	0	
0.1353	0.274944	-0.137161	0	
0.1360	2.69445	-0.754383	0	
0.1367	2.96939	-1.37161	0	
0.1373	2.36451	1.37161	0	
0.1380	3.9042	3.49759	0	
0.1387	5.71883	1.71451	0	
0.1393	3.9042	0.754383	0	
0.1400	1.15476	1.98883	0	
0.1407	2.08957	3.49759	0	
0.1413	4.23413	6.85803	0	
0.1420	3.9042	9.32691	0	
0.1427	1.15476	6.85803	0	
0.1433	0.274944	2.26315	0	
0.1440	0.879819	-0.480062	0	
0.1447	-0.0549887	-1.98883	0	
0.1453	-3.4093	-3.49759	0	
0.1460	-5.22393	-3.84049	0	
0.1467	-3.4093	-1.37161	0	
0.1473	-1.86962	1.37161	0	
0.1480	-2.47449	1.37161	0	
0.1487	-2.80442	1.37161	0	
0.1493	-2.47449	3.49759	0	
0.1500	-3.13436	3.84049	0	
0.1507	-3.4093	2.88037	0	
0.1513	-1.86962	3.22327	0	
0.1520	-0.659865	3.22327	0	
0.1527	-0.989797	2.26315	0	
0.1533	0.274944	3.49759	0	
0.1540	1.75964	4.45772	0	
0.1547	0.879819	4.11482	0	
0.1553	1.15476	3.22327	0	
0.1560	3.9042	2.26315	0	
0.1567	4.50907	1.71451	0	
0.1573	3.62925	1.37161	0	
0.1580	2.69445	-1.0287	0	
0.1587	1.15476	-1.98883	0	
0.1593	2.08957	-0.754383	0	
0.1600	4.83901	-2.26315	0	
0.1607	3.9042	-5.34926	0	
0.1613	2.36451	-4.11482	0	
0.1620	3.29932	-1.37161	0	
0.1627	1.4847	-1.37161	0	
0.1633	-1.59467	-1.64593	0	
0.1640	-0.384921	-0.754383	0	
