0.1120	-1.16625	2.21113	0	
0.1127	-2.38675	-2.68016	0	
0.1133	-2.71222	-2.07713	0	
0.1140	-3.30891	2.54615	0	
0.1147	-5.15322	2.21113	0	
0.1153	-5.15322	1.94312	0	
0.1160	-3.30891	1.34008	0	
0.1167	-3.60725	1.00506	0	
0.1173	-5.15322	6.16437	0	
0.1180	-3.30891	6.76741	0	
0.1187	1.27474	-3.55121	0	
0.1193	2.79359	-5.42733	0	
0.1200	0.949277	8.64352	0	
0.1207	1.87143	20.5032	0	
0.1213	4.01409	18.6941	0	
0.1220	3.39028	5.29332	0	
0.1227	3.09193	-9.64858	0	
0.1233	4.93624	-13.6688	0	
0.1240	3.71574	-12.7308	0	
0.1247	0.0542444	-16.081	0	
0.1253	1.57309	-16.081	0	
0.1260	6.15674	-12.7308	0	
0.1267	5.83127	-14.8749	0	
0.1273	3.09193	-16.684	0	
0.1280	2.16978	-14.5399	0	
0.1287	2.79359	-15.813	0	
0.1293	2.16978	-17.287	0	
0.1300	1.27474	-16.081	0	
0.1307	-0.569566	-17.019	0	
0.1313	-1.16625	-17.019	0	
0.1320	-0.271222	-13.0658	0	
0.1327	-1.49172	-11.7927	0	
0.1333	-4.23106	-13.6688	0	
0.1340	-4.23106	-12.3957	0	
0.1347	-2.71222	-8.77753	0	
0.1353	-3.93272	-4.15425	0	
0.1360	-6.07537	1.34008	0	
0.1367	-5.15322	6.76741	0	
0.1373	-0.867911	8.04048	0	
0.1380	2.79359	7.70546	0	
0.1387	3.09193	14.4059	0	
0.1393	2.16978	25.1265	0	
0.1400	2.16978	27.2706	0	
0.1407	3.71574	20.8383	0	
0.1413	4.93624	15.3439	0	
0.1420	5.83127	10.4526	0	
0.1427	5.53293	4.08725	0	
0.1433	4.31243	0.402024	0	
0.1440	4.31243	0.067004	0	
0.1447	3.09193	-1.13907	0	
0.1453	2.16978	-3.88623	0	
0.1460	2.16978	-6.29838	0	
0.1467	1.27474	-7.83947	0	
0.1473	0.650933	-6.90142	0	
0.1480	2.16978	-3.55121	0	
0.1487	0.949277	1.00506	0	
0.1493	-1.49172	4.08725	0	
0.1500	-0.569566	7.70546	0	
0.1507	-1.16625	11.9937	0	
0.1513	-3.30891	11.3907	0	
0.1520	-1.16625	10.4526	0	
0.1527	-0.569566	13.1998	0	
0.1533	-4.52941	15.0089	0	
0.1540	-6.07537	18.6941	0	
0.1547	-4.82775	25.1265	0	
0.1553	-5.45156	11.3907	0	
0.1560	-6.07537	-18.5601	0	
0.1567	-5.74991	-28.0077	0	
0.1573	-6.07537	-13.6688	0	
0.1580	-5.45156	-3.55121	0	
0.1587	-4.23106	-6.03036	0	
0.1593	-3.01056	-13.3338	0	
0.1600	0.352589	-17.6221	0	
0.1607	3.09193	-15.813	0	
0.1613	2.49524	-21.9103	0	
0.1620	2.79359	-31.3579	0	
0.1627	5.23459	-16.416	0	
0.1633	4.01409	9.24656	0	
0.1640	1.27474	12.5968	0	
0.1647	2.16978	2.54615	0	
0.1653	3.39028	-3.2832	0	
0.1660	1.27474	-8.17449	0	
0.1667	0.650933	-7.83947	0	
0.1673	1.57309	-0.536032	0	
0.1680	1.27474	2.81417	0	
0.1687	0.650933	0.402024	0	
0.1693	-0.569566	-1.7421	0	
0.1700	-2.08841	-2.34514	0	
0.1707	-1.49172	-0.804048	0	
0.1713	-1.79007	1.94312	0	
0.1720	-5.15322	1.94312	0	
0.1727	-6.07537	1.34008	0	
0.1733	-3.60725	2.21113	0	
0.1740	-3.93272	1.34008	0	
0.1747	-6.07537	-0.536032	0	
0.1753	-4.82775	-4.48927	0	
0.1760	-3.93272	-8.77753	0	
0.1767	-4.52941	-10.3186	0	
0.1773	-2.38675	-9.38056	0	
0.1780	1.57309	-7.83947	0	
0.1787	0.352589	-10.5866	0	
0.1793	-1.49172	-19.4312	0	
0.1800	1.27474	-23.1164	0	
0.1807	4.01409	-20.6372	0	
0.1813	2.16978	-20.9723	0	
0.1820	2.16978	-6.03036	0	
0.1827	4.01409	40.6714	0	
0.1833	4.01409	80.9409	0	
0.1840	2.16978	79.3998	0	
0.1847	2.79359	56.2164	0	
0.1853	2.49524	32.765	0	
0.1860	0.352589	10.1846	0	
0.1867	-0.271222	-2.34514	0	
0.1873	1.27474	-4.48927	0	
0.1880	1.57309	-7.83947	0	
0.1887	0.0542444	-7.83947	0	
0.1893	-1.49172	-0.804048	0	
0.1900	-2.38675	1.34008	0	
0.1907	-1.16625	0.067004	0	
0.1913	0.352589	0.402024	0	
0.1920	-1.16625	-4.15425	0	
0.1927	-3.93272	-10.9217	0	
0.1933	-4.23106	-7.57146	0	
0.1940	-3.30891	3.14919	0	
0.1947	-2.08841	11.3907	0	
0.1953	-1.49172	13.1998	0	
0.1960	-3.30891	7.70546	0	
0.1967	-4.82775	2.21113	0	
0.1973	-2.08841	-0.536032	0	
0.1980	-1.16625	-6.6334	0	
0.1987	-2.38675	-12.1277	0	
0.1993	-0.569566	-10.9217	0	
0.2000	1.57309	-9.64858	0	
0.2007	2.49524	-9.9836	0	
0.2013	3.71574	-9.38056	0	
0.2020	4.31243	-10.9217	0	
0.2027	4.61078	-12.7308	0	
0.2033	4.93624	-10.5866	0	
0.2040	2.79359	-10.5866	0	
0.2047	1.27474	-8.77753	0	
0.2053	3.39028	0.402024	0	
0.2060	3.71574	3.41721	0	
0.2067	0.650933	-5.09231	0	
0.2073	-0.569566	-8.77753	0	
0.2080	-0.867911	-4.48927	0	
0.2087	-2.38675	-5.42733	0	
