0.0000	-5.67266	1.22677	1
0.0007	-5.67266	-1.22677	0	
0.0013	-2.32486	-2.14684	0	
0.0020	1.06944	-3.06692	0	
0.0027	0.464972	-3.06692	0	
0.0033	0.139492	-1.22677	0	
0.0040	2.55735	-2.45353	0	
0.0047	2.88283	-5.82714	0	
0.0053	1.34842	-5.21376	0	
0.0060	3.20831	-3.06692	0	
0.0067	5.95164	-3.37361	0	
0.0073	4.69622	-2.14684	0	
0.0080	3.48729	0	0	
0.0087	5.34718	0.306692	0	
0.0093	4.69622	0.306692	0	
0.0100	1.6739	1.22677	0	
0.0107	1.34842	1.84015	0	
0.0113	1.95288	1.53346	0	
0.0120	0.139492	1.53346	0	
0.0127	-1.99938	3.06692	0	
0.0133	-3.53379	3.61896	0	
0.0140	-3.53379	2.45353	0	
0.0147	-0.790453	1.53346	0	
0.0153	-1.39492	0.306692	0	
0.0160	-5.67266	-2.45353	0	
0.0167	-5.95164	-2.45353	0	
0.0173	-2.60384	0.920075	0	
0.0180	-3.20831	1.53346	0	
0.0187	-5.34718	0.920075	0	
0.0193	-5.0682	1.53346	0	
0.0200	-3.53379	0.613383	0	
0.0207	-2.32486	-0.920075	0	
0.0213	-1.06944	-0.306692	0	
0.0220	1.34842	2.14684	0	
0.0227	4.41724	3.31227	0	
0.0233	5.0217	3.92565	0	
0.0240	4.69622	2.45353	0	
0.0247	6.55611	2.14684	0	
0.0253	5.95164	2.45353	0	
0.0260	2.88283	-0.613383	0	
0.0267	2.88283	-4.60037	0	
0.0273	4.69622	-3.06692	0	
0.0280	4.41724	2.14684	0	
0.0287	5.62616	3.61896	0	
0.0293	6.55611	2.14684	0	
0.0300	3.20831	2.14684	0	
0.0307	1.34842	3.92565	0	
0.0313	3.48729	4.23234	0	
0.0320	2.27836	2.14684	0	
0.0327	-2.32486	0	0	
0.0333	-3.53379	0	0	
0.0340	-1.99938	1.53346	0	
0.0347	-4.13825	1.53346	0	
0.0353	-8.416	0	0	
0.0360	-8.416	-0.613383	0	
0.0367	-5.34718	-1.22677	0	
0.0373	-5.0682	-4.90706	0	
0.0380	-5.34718	-8.28067	0	
0.0387	-3.53379	-7.05391	0	
0.0393	-1.39492	-5.52045	0	
0.0400	-1.06944	-5.52045	0	
0.0407	-1.6739	-4.29368	0	
0.0413	-1.6739	-2.45353	0	
0.0420	0.139492	-3.37361	0	
0.0427	1.06944	-3.98699	0	
0.0433	-1.06944	-1.53346	0	
0.0440	0.464972	1.53346	0	
0.0447	5.62616	2.14684	0	
0.0453	5.62616	1.84015	0	
0.0460	3.81277	2.14684	0	
0.0467	4.69622	0.306692	0	
0.0473	4.41724	-3.98699	0	
0.0480	2.55735	-4.29368	0	
0.0487	1.34842	0	0	
0.0493	-0.790453	1.22677	0	
0.0500	-0.464972	-1.22677	0	
0.0507	2.27836	-2.45353	0	
0.0513	1.06944	-5.82714	0	
0.0520	-1.06944	-8.89405	0	
0.0527	-0.464972	-4.29368	0	
0.0533	-1.6739	0.306692	0	
0.0540	-4.13825	-2.45353	0	
0.0547	-2.92933	-3.37361	0	
0.0553	-1.06944	3.31227	0	
0.0560	-2.60384	5.7658	0	
0.0567	-3.81277	3.92565	0	
0.0573	-4.46373	6.68588	0	
0.0580	-4.46373	8.21933	0	
0.0587	-3.20831	7.60595	0	
0.0593	-2.60384	10.9796	0	
0.0600	-2.60384	10.3662	0	
0.0607	-2.60384	2.14684	0	
0.0613	-1.6739	-4.29368	0	
0.0620	0.139492	-10.0595	0	
0.0627	2.27836	-16.1933	0	
0.0633	3.81277	-17.7268	0	
0.0640	4.41724	-23.4926	0	
0.0647	4.41724	-34.4721	0	
0.0653	3.81277	-38.1524	0	
0.0660	4.41724	-43.9796	0	
0.0667	6.55611	-50.0521	0	
0.0673	7.43956	-25.026	0	
0.0680	6.83509	22.8792	0	
0.0687	6.23063	47.5985	0	
0.0693	4.09176	43.3048	0	
0.0700	1.34842	32.3253	0	
0.0707	1.06944	21.3457	0	
0.0713	2.27836	14.3532	0	
0.0720	3.48729	12.2063	0	
0.0727	1.95288	7.91264	0	
0.0733	-0.790453	6.07249	0	
0.0740	-1.06944	8.83272	0	
0.0747	-0.790453	7.60595	0	
0.0753	-1.39492	4.23234	0	
0.0760	-0.464972	6.37918	0	
0.0767	0.464972	6.68588	0	
0.0773	-1.6739	3.61896	0	
0.0780	-2.60384	3.92565	0	
0.0787	-0.464972	5.7658	0	
0.0793	-1.6739	3.92565	0	
0.0800	-4.46373	3.06692	0	
0.0807	-2.60384	3.92565	0	
0.0813	0.139492	3.61896	0	
0.0820	0.139492	2.14684	0	
0.0827	1.34842	2.14684	0	
0.0833	2.88283	2.45353	0	
0.0840	2.27836	1.53346	0	
0.0847	2.88283	0.306692	0	
0.0853	5.34718	-0.306692	0	
0.0860	6.55611	-2.45353	0	
0.0867	5.0217	-3.98699	0	
0.0873	4.41724	-1.53346	0	
0.0880	4.69622	2.14684	0	
0.0887	4.69622	2.14684	0	
0.0893	4.09176	1.84015	0	
0.0900	3.48729	3.06692	0	
0.0907	3.81277	3.06692	0	
0.0913	3.81277	1.22677	0	
0.0920	1.34842	1.22677	0	
0.0927	-1.99938	0	0	
0.0933	-2.32486	-1.22677	0	
0.0940	-0.790453	0.306692	0	
0.0947	-1.6739	1.22677	0	
0.0953	-3.53379	-0.920075	0	
0.0960	-2.92933	-2.45353	0	
0.0967	-3.81277	-1.53346	0	
0.0973	-6.55611	-2.14684	0	
0.0980	-5.95164	-4.29368	0	
0.0987	-2.32486	-3.37361	0	
0.0993	-1.06944	-0.920075	0	
0.1000	-1.99938	0	0	
0.1007	-2.32486	0.306692	0	
0.1013	-2.60384	1.53346	0	
0.1020	-2.60384	2.14684	0	
0.1027	-2.60384	1.84015	0	
0.1033	-1.6739	1.53346	0	
0.1040	1.34842	0.306692	0	
0.1047	3.81277	-2.76022	0	
0.1053	3.20831	-4.29368	0	
0.1060	1.95288	-3.37361	0	
0.1067	2.55735	-4.60037	0	
0.1073	3.48729	-7.05391	0	
0.1080	4.41724	-6.13383	0	
0.1087	3.48729	-4.60037	0	
0.1093	1.06944	-5.21376	0	
0.1100	1.95288	-3.6803	0	
0.1107	3.48729	-1.53346	0	
0.1113	1.06944	-3.06692	0	
0.1120	0.139492	-5.21376	0	
0.1127	1.6739	-4.90706	0	
0.1133	-1.39492	-4.29368	0	
0.1140	-5.0682	-3.98699	0	
0.1147	-4.13825	-2.45353	0	
0.1153	-4.74272	-0.613383	0	
0.1160	-6.55611	2.14684	0	
0.1167	-5.95164	3.31227	0	
0.1173	-6.27713	1.53346	0	
0.1180	-6.55611	0.613383	0	
0.1187	-3.53379	0.920075	0	
