0.0000	2.01633	-8.10366	1
0.0007	2.31285	-27.3356	0	
0.0013	2.01633	-48.679	0	
0.0020	1.06747	-54.5	0	
0.0027	0.177912	-49.9345	0	
0.0033	0.177912	-50.2199	0	
0.0040	0.177912	-46.2251	0	
0.0047	1.36399	-17.2345	0	
0.0053	0.770951	26.0801	0	
0.0060	-2.60937	53.2445	0	
0.0067	-4.74431	55.6984	0	
0.0073	-3.20241	44.3989	0	
0.0080	-1.06747	26.9932	0	
0.0087	-1.66051	11.4136	0	
0.0093	-3.49893	2.56806	0	
0.0100	-4.09197	-1.36963	0	
0.0107	-4.74431	-2.28272	0	
0.0113	-4.44779	0.456544	0	
0.0120	-3.49893	1.94031	0	
0.0127	-2.60937	0.456544	0	
0.0133	-0.474431	-1.08429	0	
0.0140	1.36399	0.741884	0	
0.0147	0.474431	6.22041	0	
0.0153	1.06747	14.7806	0	
0.0160	3.20241	18.7754	0	
0.0167	3.49893	13.5822	0	
0.0173	3.20241	5.64973	0	
0.0180	2.90589	2.28272	0	
0.0187	1.36399	2.56806	0	
0.0193	1.66051	3.19581	0	
0.0200	2.90589	2.91047	0	
0.0207	2.60937	0.114136	0	
0.0213	3.79545	-3.19581	0	
0.0220	5.04083	-4.1089	0	
0.0227	3.79545	-4.1089	0	
0.0233	1.06747	-5.07905	0	
0.0240	-1.06747	-5.36439	0	
0.0247	-2.31285	-5.07905	0	
0.0253	-1.66051	-6.90523	0	
0.0260	-3.20241	-10.5576	0	
0.0267	-6.58274	-10.5576	0	
0.0273	-6.22691	-7.81832	0	
0.0280	-4.44779	-7.81832	0	
0.0287	-5.63387	-9.92983	0	
0.0293	-6.58274	-4.73665	0	
0.0300	-5.63387	2.28272	0	
0.0307	-5.33735	2.56806	0	
0.0313	-5.04083	2.28272	0	
0.0320	-2.60937	5.02199	0	
0.0327	-0.770951	3.19581	0	
0.0333	-1.36399	-1.36963	0	
0.0340	-1.66051	-4.1089	0	
0.0347	0.177912	-6.56282	0	
0.0353	1.06747	-5.07905	0	
0.0360	1.06747	-1.99738	0	
0.0367	2.90589	-5.99214	0	
0.0373	5.04083	-10.5576	0	
0.0380	4.74431	-9.30209	0	
0.0387	3.20241	-10.8429	0	
0.0393	2.90589	-13.2968	0	
0.0400	3.20241	-8.73141	0	
0.0407	3.79545	-5.64973	0	
0.0413	3.20241	-7.81832	0	
0.0420	1.66051	-7.19057	0	
0.0427	2.01633	-5.07905	0	
0.0433	4.15127	-4.73665	0	
0.0440	3.20241	-2.62513	0	
0.0447	-0.474431	-2.28272	0	
0.0453	-1.36399	-5.07905	0	
0.0460	-1.66051	-5.07905	0	
0.0467	-1.95703	-1.36963	0	
0.0473	0.474431	3.19581	0	
0.0480	2.90589	4.1089	0	
0.0487	-1.95703	1.94031	0	
0.0493	-6.58274	2.28272	0	
0.0500	-4.09197	4.1089	0	
0.0507	-1.66051	2.28272	0	
0.0513	-3.49893	0.741884	0	
0.0520	-3.49893	4.1089	0	
0.0527	-2.31285	6.56282	0	
0.0533	-2.31285	5.30733	0	
0.0540	-1.06747	4.39424	0	
0.0547	0.177912	4.39424	0	
0.0553	0.177912	4.39424	0	
0.0560	1.06747	5.02199	0	
0.0567	2.31285	4.73665	0	
0.0573	1.66051	4.1089	0	
0.0580	2.60937	3.48115	0	
0.0587	5.04083	1.65497	0	
0.0593	5.33735	-1.99738	0	
0.0600	5.63387	-4.1089	0	
0.0607	5.63387	-4.1089	0	
0.0613	2.90589	-5.64973	0	
0.0620	1.06747	-7.19057	0	
0.0627	4.44779	-5.64973	0	
0.0633	4.15127	-5.64973	0	
0.0640	-1.06747	-8.73141	0	
0.0647	-1.06747	-9.30209	0	
0.0653	1.06747	-8.73141	0	
0.0660	-2.31285	-9.64449	0	
0.0667	-4.09197	-7.19057	0	
0.0673	-1.95703	-2.28272	0	
0.0680	-2.60937	-0.456544	0	
0.0687	-4.74431	0.114136	0	
0.0693	-4.09197	0.741884	0	
0.0700	-3.49893	3.19581	0	
0.0707	-2.60937	9.87277	0	
0.0713	-2.31285	13.2398	0	
0.0720	-5.63387	4.1089	0	
0.0727	-6.22691	-10.5576	0	
0.0733	-1.66051	-20.944	0	
0.0740	-1.36399	-25.167	0	
0.0747	-2.90589	-15.123	0	
