0.0000	-3.11276	1.07957	1
0.0007	-4.03506	-4.39025	0	
0.0013	-3.11276	-8.06079	0	
0.0020	-1.5756	-12.3071	0	
0.0027	-3.72763	-20.8717	0	
0.0033	-4.03506	-28.2128	0	
0.0040	-0.653296	-31.2356	0	
0.0047	0.576437	-33.3947	0	
0.0053	-0.0384292	-34.2584	0	
0.0060	1.76774	-21.4475	0	
0.0067	3.30491	8.70854	0	
0.0073	1.46031	39.8721	0	
0.0080	1.15287	48.0769	0	
0.0087	2.99747	32.5311	0	
0.0093	2.99747	14.2503	0	
0.0100	2.99747	5.68574	0	
0.0107	4.22721	3.5266	0	
0.0113	3.30491	3.23871	0	
0.0120	1.76774	3.23871	0	
0.0127	2.38261	0.791685	0	
0.0133	1.15287	-1.94323	0	
0.0140	-0.345862	-1.36746	0	
0.0147	1.46031	0.791685	0	
0.0153	1.46031	0.5038	0	
0.0160	-1.26816	-1.36746	0	
0.0167	-0.960729	1.07957	0	
0.0173	1.15287	7.84488	0	
0.0180	0.576437	10.5798	0	
0.0187	-1.88303	3.23871	0	
0.0193	-4.34249	-5.90165	0	
0.0200	-5.22637	-7.12517	0	
0.0207	-3.42019	-4.67814	0	
0.0213	-1.26816	-5.90165	0	
0.0220	-1.5756	-6.83728	0	
0.0227	-2.80533	-4.67814	0	
0.0233	-2.80533	-5.32588	0	
0.0240	-1.26816	-10.5078	0	
0.0247	0.269004	-13.2427	0	
0.0253	1.15287	-13.2427	0	
0.0260	2.99747	-14.1784	0	
0.0267	3.61234	-13.5306	0	
0.0273	2.38261	-10.5078	0	
0.0280	2.07517	-6.83728	0	
0.0287	3.30491	-2.23111	0	
0.0293	4.53464	-1.94323	0	
0.0300	5.45694	-4.10237	0	
0.0307	3.91977	2.30308	0	
0.0313	0.269004	8.13276	0	
0.0320	-1.88303	-1.0076	0	
0.0327	-1.5756	-6.83728	0	
0.0333	-0.960729	6.90925	0	
0.0340	-0.345862	18.4966	0	
0.0347	0.576437	13.6026	0	
0.0353	-0.653296	8.13276	0	
0.0360	-1.88303	6.90925	0	
0.0367	-0.345862	4.17434	0	
0.0373	-1.26816	3.23871	0	
0.0380	-5.84123	3.23871	0	
0.0387	-4.6115	3.23871	0	
0.0393	-0.0384292	3.5266	0	
0.0400	-2.4979	1.43943	0	
0.0407	-5.5338	-3.16674	0	
0.0413	-3.42019	-5.90165	0	
0.0420	-4.03506	-7.12517	0	
0.0427	-5.84123	-7.41305	0	
0.0433	-2.4979	-5.61377	0	
0.0440	0.269004	-3.45463	0	
0.0447	-2.4979	-1.36746	0	
0.0453	-4.6115	-0.719714	0	
0.0460	-2.80533	-1.65534	0	
0.0467	-0.345862	-0.431828	0	
0.0473	-0.0384292	2.66294	0	
0.0480	-1.5756	5.10997	0	
0.0487	-0.653296	7.19714	0	
0.0493	1.15287	8.42065	0	
0.0500	-0.653296	8.70854	0	
0.0507	-0.345862	9.64416	0	
0.0513	-0.653296	8.70854	0	
0.0520	-4.6115	7.19714	0	
0.0527	-6.14866	9.35628	0	
0.0533	-2.19046	10.2919	0	
0.0540	-0.653296	9.06839	0	
0.0547	-2.4979	9.64416	0	
0.0553	-4.03506	6.26151	0	
0.0560	-5.22637	-2.87885	0	
0.0567	-3.72763	-18.1368	0	
0.0573	-2.80533	-49.5163	0	
0.0580	-5.22637	-79.7443	0	
0.0587	-5.22637	-75.498	0	
0.0593	-3.72763	-54.1225	0	
0.0600	-6.14866	-40.7358	0	
0.0607	-6.76353	-10.5078	0	
0.0613	-4.03506	39.2244	0	
0.0620	-4.34249	66.4296	0	
0.0627	-4.34249	61.2476	0	
0.0633	-2.19046	45.9897	0	
0.0640	-3.42019	27.0612	0	
0.0647	-5.22637	11.8033	0	
0.0653	-2.4979	8.42065	0	
0.0660	-2.4979	7.19714	0	
0.0667	-3.72763	3.23871	0	
0.0673	-1.5756	1.43943	0	
0.0680	-1.26816	0.215914	0	
0.0687	-2.4979	-1.94323	0	
0.0693	-0.653296	-1.94323	0	
0.0700	-0.653296	-1.36746	0	
0.0707	-2.80533	0.215914	0	
0.0713	-1.5756	3.23871	0	
0.0720	-0.345862	2.66294	0	
0.0727	-3.11276	-1.65534	0	
0.0733	-3.42019	-3.16674	0	
0.0740	-3.11276	-0.431828	0	
0.0747	-4.03506	1.72731	0	
0.0753	-3.42019	2.0152	0	
0.0760	-1.5756	0.215914	0	
0.0767	-0.345862	-1.94323	0	
0.0773	0.269004	-2.23111	0	
0.0780	-1.5756	-0.719714	0	
0.0787	-2.4979	1.07957	0	
0.0793	-1.5756	1.43943	0	
0.0800	-2.4979	1.43943	0	
0.0807	-4.34249	4.46222	0	
0.0813	-2.19046	5.97362	0	
0.0820	-1.5756	1.72731	0	
0.0827	-4.03506	-1.94323	0	
0.0833	-2.4979	-0.431828	0	
0.0840	-1.5756	2.30308	0	
0.0847	-3.11276	3.5266	0	
0.0853	-1.5756	3.88645	0	
0.0860	0.845441	2.95083	0	
0.0867	-1.88303	2.0152	0	
0.0873	-4.03506	2.30308	0	
0.0880	-0.653296	2.30308	0	
0.0887	2.69004	0.791685	0	
0.0893	2.07517	0.5038	0	
0.0900	1.15287	1.72731	0	
0.0907	-0.0384292	-0.143943	0	
0.0913	-3.72763	-5.90165	0	
0.0920	-4.34249	-9.28431	0	
0.0927	-0.653296	-10.5078	0	
0.0933	-1.26816	-18.1368	0	
0.0940	-4.34249	-30.2999	0	
0.0947	-1.88303	-37.0653	0	
0.0953	0.269004	-41.0237	0	
0.0960	-2.4979	-43.7586	0	
0.0967	-3.11276	-42.5351	0	
0.0973	-1.5756	-41.0237	0	
0.0980	-3.11276	-30.6598	0	
0.0987	-4.34249	6.26151	0	
0.0993	-2.19046	49.3004	0	
0.1000	-2.4979	59.0885	0	
0.1007	-4.03506	39.8721	0	
0.1013	-3.11276	23.3907	0	
0.1020	-1.5756	16.6974	0	
0.1027	-0.960729	13.0268	0	
