0.1113	0.88264	-12.7674	0	
0.1120	-0.966701	-13.9939	0	
0.1127	-1.55513	-12.1541	0	
0.1133	-1.89137	-10.3142	0	
0.1140	-1.55513	-8.47441	0	
0.1147	-1.89137	-5.12925	0	
0.1153	-1.55513	2.50887	0	
0.1160	0.88264	8.58591	0	
0.1167	2.10152	8.30715	0	
0.1173	1.17685	7.4151	0	
0.1180	1.76528	9.19919	0	
0.1187	3.61462	9.53371	0	
0.1193	3.61462	7.69387	0	
0.1200	1.76528	4.96199	0	
0.1207	1.76528	1.00355	0	
0.1213	3.0262	-4.18145	0	
0.1220	3.0262	-10.3142	0	
0.1227	1.17685	-14.886	0	
0.1233	1.47107	-14.886	0	
0.1240	3.0262	-14.2727	0	
0.1247	2.10152	-15.2205	0	
0.1253	-0.336244	-14.2727	0	
0.1260	-0.336244	-12.1541	0	
0.1267	0.252183	-10.593	0	
0.1273	-3.40447	-6.63457	0	
0.1280	-7.98579	-2.67613	0	
0.1287	-6.13645	-2.39736	0	
0.1293	-0.966701	-2.39736	0	
0.1300	0.252183	-1.17081	0	
0.1307	0.546396	0.390269	0	
0.1313	0.252183	1.00355	0	
0.1320	-2.18559	0.390269	0	
0.1327	-2.4798	1.28231	0	
0.1333	-1.26091	5.24075	0	
0.1340	-4.32914	8.30715	0	
0.1347	-5.84224	11.039	0	
0.1353	-1.55513	15.9453	0	
0.1360	-0.672488	17.4506	0	
0.1367	-1.89137	14.9975	0	
0.1373	1.76528	14.3842	0	
0.1380	3.90884	15.9453	0	
0.1387	0.546396	13.7709	0	
0.1393	1.76528	6.18855	0	
0.1400	5.75818	-2.39736	0	
0.1407	5.75818	-7.86113	0	
0.1413	3.32041	-19.7922	0	
0.1420	3.32041	-52.742	0	
0.1427	3.90884	-92.9954	0	
0.1433	3.90884	-104.313	0	
0.1440	3.61462	-74.7086	0	
0.1447	3.32041	-36.2392	0	
0.1453	3.0262	-19.7922	0	
0.1460	0.88264	-22.5241	0	
0.1467	-3.11026	-34.1206	0	
0.1473	-5.54803	-45.7172	0	
0.1480	-5.25381	-25.8692	0	
0.1487	-3.9929	37.9118	0	
0.1493	-2.18559	97.7344	0	
0.1500	-1.55513	105.651	0	
0.1507	-3.40447	76.9944	0	
0.1513	-4.91757	52.5748	0	
0.1520	-3.69868	47.3898	0	
0.1527	-3.40447	47.0552	0	
0.1533	-4.62335	40.6437	0	
0.1540	-4.32914	40.9782	0	
0.1547	-1.89137	51.3482	0	
0.1553	1.17685	49.7871	0	
0.1560	2.68995	33.6189	0	
0.1567	1.76528	22.0223	0	
0.1573	1.76528	21.409	0	
0.1580	3.90884	22.6356	0	
0.1587	4.83351	17.1718	0	
0.1593	4.83351	6.18855	0	
0.1600	3.90884	0.0557527	0	
0.1607	1.47107	-3.28941	0	
0.1613	2.39574	-10.593	0	
0.1620	6.05239	-12.4328	0	
0.1627	4.83351	-6.02129	0	
0.1633	2.68995	-4.18145	0	
0.1640	4.83351	-4.51597	0	
0.1647	4.53929	-4.51597	0	
0.1653	1.47107	-10.593	0	
0.1660	2.10152	-7.24785	0	
0.1667	2.10152	15.9453	0	
0.1673	-0.672488	30.887	0	
0.1680	-2.18559	24.4754	0	
0.1687	-0.672488	14.3842	0	
0.1693	-0.672488	10.4257	0	
0.1700	-4.32914	8.92043	0	
0.1707	-6.76691	4.34871	0	
0.1713	-4.62335	-9.70096	0	
0.1720	-3.40447	-21.9108	0	
0.1727	-5.84224	-21.9108	0	
0.1733	-5.54803	-19.1789	0	
0.1740	-3.11026	-19.4577	0	
0.1747	-3.11026	-16.7258	0	
0.1753	-3.11026	-16.1125	0	
0.1760	-1.89137	-22.1896	0	
0.1767	-1.26091	-26.2038	0	
0.1773	-0.672488	-24.3639	0	
0.1780	-0.0420305	-19.7922	0	
0.1787	-0.672488	-14.2727	0	
0.1793	0.546396	-10.593	0	
0.1800	3.32041	-7.24785	0	
0.1807	4.24508	-4.18145	0	
0.1813	3.61462	-2.06285	0	
0.1820	1.17685	0.390269	0	
0.1827	-0.672488	2.17435	0	
0.1833	0.252183	2.17435	0	
0.1840	1.17685	1.89559	0	
0.1847	-0.336244	4.01419	0	
0.1853	0.252183	5.85403	0	
0.1860	1.17685	-6.3558	0	
0.1867	-0.0420305	-36.2392	0	
0.1873	-0.0420305	-56.9792	0	
0.1880	1.17685	-48.4491	0	
0.1887	0.546396	-30.1622	0	
0.1893	0.252183	-18.8444	0	
0.1900	1.47107	-10.593	0	
0.1907	1.47107	-8.19564	0	
0.1913	-0.672488	-8.80892	0	
0.1920	-2.18559	-2.39736	0	
0.1927	-1.55513	3.12215	0	
0.1933	-0.336244	2.50887	0	
0.1940	-0.672488	1.28231	0	
0.1947	-2.18559	-2.39736	0	
0.1953	-1.55513	-6.96908	0	
0.1960	1.17685	-7.86113	0	
0.1967	3.32041	-13.3806	0	
0.1973	3.0262	-25.8692	0	
0.1980	1.17685	-38.0791	0	
0.1987	2.10152	-51.7942	0	
0.1993	3.61462	-62.1642	0	
0.2000	2.10152	-67.9625	0	
0.2007	-0.0420305	-69.8023	0	
0.2013	1.17685	-35.0127	0	
0.2020	3.61462	48.2818	0	
0.2027	3.90884	110.223	0	
0.2033	3.0262	101.972	0	
0.2040	1.17685	63.558	0	
0.2047	0.252183	33.3401	0	
0.2053	0.252183	15.9453	0	
0.2060	-0.672488	11.6523	0	
0.2067	-1.89137	14.7187	0	
0.2073	-3.69868	16.5585	0	
0.2080	-4.32914	16.8373	0	
0.2087	-2.4798	12.8789	0	
0.2093	-2.18559	10.147	0	
0.2100	-3.9929	20.517	0	
0.2107	-4.32914	28.4339	0	
0.2113	-2.4798	24.1967	0	
0.2120	-2.4798	26.3153	0	
0.2127	-3.11026	34.2321	0	
0.2133	-1.55513	30.6082	0	
0.2140	0.546396	24.1967	0	
0.2147	1.17685	24.1967	0	
0.2153	-0.672488	21.1303	0	
0.2160	-1.89137	16.8373	0	
0.2167	-0.0420305	18.0639	0	
0.2173	2.10152	16.8373	0	
0.2180	2.10152	11.3735	0	
0.2187	3.90884	11.3735	0	
0.2193	4.53929	13.4921	0	
0.2200	1.76528	8.58591	0	
0.2207	1.17685	-3.28941	0	
0.2213	4.24508	-12.4328	0	
0.2220	5.46396	-12.7674	0	
0.2227	4.53929	-9.4222	0	
0.2233	3.0262	-9.97973	0	
0.2240	-0.0420305	-8.80892	0	
0.2247	-1.55513	1.00355	0	
0.2253	-1.26091	8.92043	0	
0.2260	-1.89137	8.58591	0	
0.2267	-2.4798	7.69387	0	
0.2273	-1.26091	9.19919	0	
0.2280	-1.55513	4.01419	0	
0.2287	-3.40447	-6.02129	0	
0.2293	-2.18559	-10.593	0	
0.2300	-0.336244	-9.08768	0	
0.2307	-0.672488	-9.08768	0	
0.2313	-1.55513	-14.2727	0	
0.2320	-1.55513	-18.8444	0	
0.2327	-2.4798	-21.5763	0	
0.2333	-2.4798	-24.0294	0	
0.2340	-1.26091	-24.3639	0	
0.2347	0.252183	-22.8028	0	
0.2353	1.17685	-22.5241	0	
0.2360	2.68995	-19.7922	0	
0.2367	2.10152	-14.2727	0	
0.2373	2.10152	-9.70096	0	
0.2380	4.53929	-6.96908	0	
0.2387	4.53929	-4.18145	0	
0.2393	2.68995	-3.01064	0	
0.2400	3.0262	0.669032	0	
0.2407	3.0262	5.85403	0	
0.2413	2.10152	6.18855	0	
0.2420	3.90884	5.85403	0	
0.2427	3.90884	9.19919	0	
0.2433	-0.0420305	8.30715	0	
0.2440	-1.89137	2.17435	0	
0.2447	-0.966701	1.00355	0	
0.2453	-0.966701	1.28231	0	
0.2460	-1.55513	-0.557527	0	
0.2467	-1.26091	-1.78409	0	
0.2473	-1.26091	-10.3142	0	
0.2480	-1.89137	-19.7922	0	
0.2487	-3.40447	-20.4055	0	
0.2493	-2.4798	-37.4658	0	
0.2500	-0.672488	-71.9767	0	
0.2507	-1.89137	-66.4572	0	
0.2513	-4.32914	-15.2205	0	
0.2520	-3.11026	20.1825	0	
0.2527	-3.11026	21.409	0	
0.2533	-4.62335	16.8373	0	
0.2540	-3.69868	12.2656	0	
0.2547	-3.40447	6.18855	0	
0.2553	-4.32914	4.96199	0	
0.2560	-2.18559	5.57527	0	
0.2567	0.252183	4.96199	0	
0.2573	-1.26091	1.89559	0	
0.2580	-0.0420305	-4.79473	0	
0.2587	3.0262	-9.4222	0	
0.2593	1.47107	-10.593	0	
0.2600	0.252183	-9.70096	0	
0.2607	3.90884	-4.18145	0	
0.2613	6.34661	1.89559	0	
0.2620	3.61462	2.50887	0	
0.2627	2.10152	3.73543	0	
0.2633	2.39574	7.69387	0	
0.2640	0.88264	7.69387	0	
0.2647	-0.672488	5.85403	0	
0.2653	1.17685	7.69387	0	
0.2660	1.17685	10.4257	0	
0.2667	-2.4798	10.7603	0	
0.2673	-2.77401	6.80183	0	
0.2680	-0.336244	1.28231	0	
0.2687	-2.4798	-0.223011	0	
0.2693	-3.9929	-0.557527	0	
0.2700	-0.672488	-4.51597	0	
