0.0000	4.91454	0.765191	1
0.0007	10.0459	-0.765191	0	
0.0013	12.2141	1.36641	0	
0.0020	12.5032	2.89679	0	
0.0027	12.2141	1.96763	0	
0.0033	9.75681	3.82595	0	
0.0040	5.20363	5.62962	0	
0.0047	5.78181	3.49802	0	
0.0053	14.0209	0.765191	0	
0.0060	19.2245	1.36641	0	
0.0067	17.4177	1.69435	0	
0.0073	16.1891	1.36641	0	
0.0080	13.7318	1.96763	0	
0.0087	1.22864	1.69435	0	
0.0093	-11.5636	1.09313	0	
0.0100	-9.17863	0.437252	0	
0.0107	0.939545	-0.765191	0	
0.0113	7.6609	-0.765191	0	
0.0120	11.2745	1.69435	0	
0.0127	12.2141	1.36641	0	
0.0133	12.7923	-1.03847	0	
0.0140	15.9	-3.49802	0	
0.0147	14.3823	-3.82595	0	
0.0153	9.75681	-0.765191	0	
0.0160	14.3823	1.96763	0	
0.0167	19.875	0.163969	0	
0.0173	18.9354	-1.69435	0	
0.0180	23.7777	-0.765191	0	
0.0187	25.9459	-2.56886	0	
0.0193	7.6609	-3.22473	0	
0.0200	-13.7318	0.765191	0	
0.0207	-16.7673	0.163969	0	
0.0213	-9.17863	-4.42718	0	
0.0220	7.6609	-3.49802	0	
0.0227	39.6777	0.163969	0	
0.0233	68.0809	-1.03847	0	
0.0240	71.4054	-2.89679	0	
0.0247	48.8563	-1.69435	0	
0.0253	10.9854	-0.437252	0	
0.0260	-26.8854	1.09313	0	
0.0267	-57.0954	2.62351	0	
0.0273	-80.8731	1.09313	0	
0.0280	-85.7154	-0.437252	0	
0.0287	-62.5881	-0.437252	0	
0.0293	-32.6673	-1.69435	0	
0.0300	-19.2245	-2.56886	0	
0.0307	-14.31	-1.36641	0	
0.0313	-7.94999	-2.56886	0	
0.0320	-5.20363	-3.49802	0	
0.0327	-6.07091	-0.765191	0	
0.0333	-5.78181	1.09313	0	
0.0340	-5.20363	1.09313	0	
0.0347	-2.45727	0.765191	0	
0.0353	3.39682	-1.36641	0	
0.0360	6.14318	-3.49802	0	
0.0367	3.03545	-3.49802	0	
0.0373	-3.32454	-2.89679	0	
0.0380	-10.335	-1.96763	0	
0.0387	-13.0814	-2.29557	0	
0.0393	-14.9604	-4.09924	0	
0.0400	-21.6818	-3.49802	0	
0.0407	-25.9459	-1.36641	0	
0.0413	-18.6464	-2.89679	0	
0.0420	-6.72136	-5.35634	0	
0.0427	-1.22864	-4.09924	0	
0.0433	-3.32454	-1.03847	0	
0.0440	-8.81727	0.765191	0	
0.0447	-8.81727	1.09313	0	
0.0453	1.51773	-0.765191	0	
0.0460	15.2495	-1.69435	0	
0.0467	25.3677	-0.437252	0	
0.0473	30.21	0.437252	0	
0.0480	30.21	0.437252	0	
