0.0000	31.338	-0.40074	1
0.0007	20.3854	-0.734691	0	
0.0013	15.7738	-1.3358	0	
0.0020	15.4594	-3.47308	0	
0.0027	14.8829	-5.27641	0	
0.0033	22.2196	-2.53802	0	
0.0040	37.1549	-1.3358	0	
0.0047	48.4219	-2.87197	0	
0.0053	47.8454	-0.734691	0	
0.0060	34.3774	1.73654	0	
0.0067	5.08325	-1.93691	0	
0.0073	-35.7924	-5.27641	0	
0.0080	-67.5496	-3.74024	0	
0.0087	-73.6285	-3.47308	0	
0.0093	-60.5273	-3.47308	0	
0.0100	-44.3343	-0.40074	0	
0.0107	-32.124	-0.734691	0	
0.0113	-25.7307	-2.53802	0	
0.0120	-23.2677	1.40259	0	
0.0127	-16.2454	3.87382	0	
0.0133	-4.66401	0.20037	0	
0.0140	2.35821	-1.60296	0	
0.0147	2.35821	-0.40074	0	
0.0153	-0.104809	-0.40074	0	
0.0160	-4.34958	-0.0667901	0	
0.0167	-9.53764	2.07049	0	
0.0173	-11.0574	3.53987	0	
0.0180	-6.49817	3.87382	0	
0.0187	-0.104809	4.47493	0	
0.0193	2.98706	3.53987	0	
0.0200	2.35821	1.13543	0	
0.0207	4.82123	1.40259	0	
0.0213	14.2541	4.80888	0	
0.0220	24.0013	4.80888	0	
0.0227	25.5735	3.53987	0	
0.0233	23.1104	4.80888	0	
0.0240	23.4249	4.80888	0	
0.0247	23.1104	2.6716	0	
0.0253	14.2541	0.801481	0	
0.0260	1.1529	0.20037	0	
0.0267	-6.8126	1.73654	0	
0.0273	-12.0007	3.53987	0	
0.0280	-21.7479	2.6716	0	
0.0287	-25.4162	2.93876	0	
0.0293	-16.5599	4.47493	0	
0.0300	-5.55489	2.07049	0	
0.0307	5.08325	0.801481	0	
0.0313	17.608	4.20777	0	
0.0320	23.4249	5.40999	0	
0.0327	22.2196	4.20777	0	
0.0333	18.8133	5.67715	0	
0.0340	1.1529	3.53987	0	
0.0347	-22.6388	-0.0667901	0	
0.0353	-29.0846	0.53432	0	
0.0360	-25.1018	1.40259	0	
0.0367	-21.7479	0.801481	0	
0.0373	-9.53764	2.07049	0	
0.0380	3.87794	2.07049	0	
0.0387	3.87794	0.20037	0	
0.0393	0.524046	-0.0667901	0	
0.0400	0.838474	1.40259	0	
0.0407	-1.62454	2.6716	0	
0.0413	-5.29287	3.53987	0	
0.0420	-7.07463	2.07049	0	
0.0427	-9.85207	-1.93691	0	
0.0433	-11.6862	-3.13913	0	
0.0440	-9.85207	-0.40074	0	
0.0447	-3.14428	1.40259	0	
0.0453	0.524046	1.40259	0	
0.0460	-1.31012	0.801481	0	
0.0467	7.54627	-0.0667901	0	
0.0473	24.6302	-0.734691	0	
0.0480	24.3157	1.73654	0	
0.0487	14.8829	2.6716	0	
0.0493	13.6252	0.53432	0	
0.0500	-0.104809	0.20037	0	
0.0507	-30.6043	1.40259	0	
0.0513	-44.3343	0.53432	0	
0.0520	-35.4779	1.13543	0	
0.0527	-22.9532	2.6716	0	
0.0533	-12.2627	1.13543	0	
0.0540	-4.34958	1.13543	0	
0.0547	-2.82985	2.33765	0	
0.0553	-0.104809	1.13543	0	
0.0560	4.82123	1.13543	0	
0.0567	3.87794	2.07049	0	
0.0573	0.209619	0.801481	0	
0.0580	2.67264	2.07049	0	
0.0587	6.65539	4.80888	0	
0.0593	8.43715	3.53987	0	
0.0600	12.4199	2.93876	0	
0.0607	16.4026	3.27271	0	
0.0613	15.4594	0.801481	0	
0.0620	15.7738	-0.0667901	0	
0.0627	21.2763	2.6716	0	
0.0633	24.0013	2.07049	0	
0.0640	20.9619	0.20037	0	
0.0647	20.071	1.40259	0	
0.0653	20.9619	0.20037	0	
0.0660	16.4026	-3.47308	0	
0.0667	6.34096	-3.47308	0	
0.0673	-6.8126	-1.93691	0	
0.0680	-18.0796	-1.60296	0	
0.0687	-19.9138	-0.40074	0	
0.0693	-15.0401	0.20037	0	
0.0700	-13.5204	-0.40074	0	
0.0707	-11.6862	-0.734691	0	
0.0713	-4.34958	-1.00185	0	
0.0720	1.46733	-0.40074	0	
0.0727	3.87794	2.07049	0	
0.0733	6.34096	2.07049	0	
0.0740	6.91741	-1.60296	0	
0.0747	8.43715	-2.53802	0	
0.0753	13.6252	1.13543	0	
0.0760	20.071	2.07049	0	
0.0767	25.8355	0.20037	0	
0.0773	27.0932	-0.40074	0	
0.0780	24.0013	0.53432	0	
0.0787	24.0013	0.53432	0	
0.0793	24.9446	-0.734691	0	
0.0800	19.1277	-1.93691	0	
0.0807	14.5685	-0.40074	0	
0.0813	20.9619	2.6716	0	
0.0820	28.2985	2.33765	0	
0.0827	31.338	0.801481	0	
0.0833	37.4693	1.40259	0	
0.0840	43.2338	2.07049	0	
0.0847	35.3207	2.07049	0	
0.0853	15.7738	2.6716	0	
0.0860	1.46733	2.6716	0	
0.0867	-4.66401	1.40259	0	
0.0873	-17.1887	2.6716	0	
0.0880	-34.5871	3.87382	0	
0.0887	-43.129	2.07049	0	
0.0893	-48.5791	2.07049	0	
0.0900	-60.7894	4.20777	0	
0.0907	-66.2919	2.07049	0	
0.0913	-48.8935	-1.60296	0	
0.0920	-19.0229	-0.40074	0	
0.0927	-0.68126	0.53432	0	
0.0933	-8.01791	-2.53802	0	
0.0940	-24.2109	-2.53802	0	
0.0947	-30.9187	-1.00185	0	
0.0953	-33.6438	-2.53802	0	
0.0960	-36.4212	-1.3358	0	
0.0967	-30.6043	2.6716	0	
0.0973	-21.1191	2.93876	0	
0.0980	-12.5771	0.801481	0	
0.0987	-2.51542	-0.734691	0	
0.0993	0.524046	-1.60296	0	
0.1000	-5.55489	-2.87197	0	
0.1007	-3.45871	-4.07419	0	
0.1013	8.75157	-2.87197	0	
0.1020	20.3854	0.20037	0	
0.1027	35.9496	-1.60296	0	
0.1033	48.7363	-5.27641	0	
0.1040	38.6746	-2.53802	0	
0.1047	17.608	-0.40074	0	
0.1053	5.39768	-3.13913	0	
0.1060	-5.29287	-3.13913	0	
0.1067	-21.1191	-2.20407	0	
0.1073	-27.2504	-3.47308	0	
0.1080	-21.1191	-2.20407	0	
0.1087	-16.2454	-0.734691	0	
0.1093	-18.0796	-2.53802	0	
0.1100	-20.5426	-3.13913	0	
0.1107	-16.8743	-1.60296	0	
0.1113	-10.7429	-3.47308	0	
0.1120	-7.07463	-4.6753	0	
0.1127	-0.68126	-3.13913	0	
0.1133	16.7171	-3.13913	0	
0.1140	39.8799	-2.53802	0	
0.1147	55.4441	-0.0667901	0	
0.1153	59.7413	-0.40074	0	
0.1160	53.0335	-2.53802	0	
0.1167	30.1327	-2.53802	0	
0.1173	-3.14428	-1.00185	0	
0.1180	-23.8965	-1.00185	0	
0.1187	-19.2849	-2.20407	0	
0.1193	-3.72073	-0.0667901	0	
0.1200	6.65539	1.40259	0	
0.1207	13.9396	-2.53802	0	
0.1213	20.3854	-5.61036	0	
0.1220	18.8133	-3.13913	0	
0.1227	7.86069	-2.20407	0	
0.1233	-4.97844	-4.07419	0	
0.1240	-12.8915	-2.53802	0	
0.1247	-16.2454	-1.00185	0	
0.1253	-17.1887	-3.47308	0	
0.1260	-19.2849	-5.61036	0	
0.1267	-20.2282	-5.27641	0	
0.1273	-18.0796	-4.34135	0	
0.1280	-15.3546	-5.87752	0	
0.1287	-12.2627	-6.47864	0	
0.1293	-0.104809	-2.53802	0	
0.1300	20.9619	0.20037	0	
0.1307	43.2338	-2.87197	0	
0.1313	57.9071	-4.34135	0	
0.1320	53.0335	-0.734691	0	
0.1327	27.9841	-0.40074	0	
0.1333	5.7121	-1.93691	0	
0.1340	-2.20099	-0.40074	0	
0.1347	-4.34958	1.40259	0	
0.1353	-4.34958	1.13543	0	
0.1360	-0.68126	1.13543	0	
0.1367	2.98706	-0.0667901	0	
0.1373	6.02653	-2.53802	0	
0.1380	10.5857	-3.47308	0	
0.1387	13.9396	-3.47308	0	
0.1393	17.2935	-2.53802	0	
0.1400	23.4249	-1.3358	0	
0.1407	23.4249	-1.93691	0	
0.1413	8.43715	-2.20407	0	
0.1420	-9.53764	-0.40074	0	
0.1427	-13.8348	0.20037	0	
0.1433	-13.206	-2.20407	0	
0.1440	-22.3768	-3.74024	0	
0.1447	-31.8096	-3.47308	0	
0.1453	-33.3293	-1.3358	0	
0.1460	-36.4212	1.13543	0	
0.1467	-40.9804	0.801481	0	
0.1473	-36.1068	-1.60296	0	
0.1480	-27.2504	-1.93691	0	
0.1487	-26.3071	-0.40074	0	
0.1493	-23.5821	-0.40074	0	
0.1500	-13.206	0.801481	0	
0.1507	-5.86932	2.07049	0	
0.1513	-5.86932	-0.40074	0	
0.1520	-6.49817	-0.40074	0	
0.1527	-5.29287	2.07049	0	
0.1533	-2.51542	-0.40074	0	
0.1540	2.98706	-1.60296	0	
0.1547	6.34096	2.33765	0	
0.1553	6.65539	2.93876	0	
0.1560	6.65539	0.53432	0	
0.1567	2.98706	2.07049	0	
0.1573	-8.33234	1.40259	0	
0.1580	-18.0796	-1.60296	0	
0.1587	-17.1887	-0.734691	0	
0.1593	-12.5771	0.20037	0	
0.1600	-11.0574	-1.60296	0	
0.1607	-8.90879	-1.00185	0	
0.1613	1.1529	-1.60296	0	
0.1620	19.1277	-3.47308	0	
0.1627	37.7837	-1.60296	0	
0.1633	46.9021	-0.734691	0	
0.1640	41.7141	-1.00185	0	
0.1647	28.2985	2.33765	0	
0.1653	13.0488	3.87382	0	
0.1660	-9.85207	-0.734691	0	
0.1667	-36.4212	-1.60296	0	
0.1673	-45.5396	0.801481	0	
0.1680	-34.5871	-0.734691	0	
0.1687	-22.6388	-3.13913	0	
0.1693	-16.2454	-0.40074	0	
0.1700	-8.90879	3.87382	0	
0.1707	-0.104809	3.53987	0	
0.1713	12.7343	-0.734691	0	
0.1720	24.9446	0.53432	0	
0.1727	18.5512	4.47493	0	
0.1733	-1.31012	1.73654	0	
0.1740	-12.5771	-1.93691	0	
0.1747	-19.5993	0.20037	0	
0.1753	-29.9754	2.07049	0	
0.1760	-28.1413	1.13543	0	
0.1767	-14.4113	1.40259	0	
0.1773	-6.18375	0.20037	0	
0.1780	-7.07463	-1.00185	0	
0.1787	-8.64676	-0.0667901	0	
0.1793	-6.49817	0.53432	0	
0.1800	1.46733	1.40259	0	
0.1807	8.43715	2.07049	0	
0.1813	8.75157	1.13543	0	
0.1820	9.38043	2.6716	0	
0.1827	13.9396	4.80888	0	
